NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MASS,MSTAR,I
,mjupiter,au,day,,deg,jd,m/s,,,,,mjupiter,msun,deg
HD 79498 b,1.34632,3.13296,1966.1,0.59,221,2453210.9,26,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,1.34632,1.06,
GJ 273 d,0.0448185,0.730436,423.3821719,0.717815,175.096,2455953.069687062,3.97639,Astudillo-Defru 2017 (corrected; private communication),http://adsabs.harvard.edu/abs/2017A%26A...602A..88A,Astudillo-Defru 2017,http://adsabs.harvard.edu/abs/2017A%26A...602A..88A,0.0448185,0.29,
Kepler-89 e,0.0986881,0.304548,54.32031,0.019,,,4.5,Weiss 2013,http://adsabs.harvard.edu/abs/2013ApJ...768...14W,Weiss 2013,http://adsabs.harvard.edu/abs/2013ApJ...768...14W,0.0409024,1.277,89.76
HATS-22 b,2.73841,0.0503097,4.7228124,0.079,56,2457078.19752,399,Bento 2017,http://adsabs.harvard.edu/abs/2017MNRAS.468..835B,Bento 2017,http://adsabs.harvard.edu/abs/2017MNRAS.468..835B,2.74014,0.759,87.96
Kepler-722 b,,0.0505771,4.09357325,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0213319,1.03,
Kepler-556 b,,0.100994,11.72292176,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0169068,1,
Kepler-883 b,,0.110239,12.98495573,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0131362,1.06,
Kepler-1181 b,,0.0594394,4.89337519,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0117248,1.17,
Kepler-1336 c,,0.061725,5.77721211,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0126737,0.94,
Kepler-897 b,,0.079369,8.0472642,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0183949,1.03,
Kepler-298 d,,0.355666,77.473633,,90,2455017.24735,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0196646,,
Kepler-269 b,,0.0596916,5.326718,,90,2455190.12204,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.019315,,
Kepler-248 b,,0.0668155,6.308205,,90,2455007.04657,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0272098,,
HD 181433 c,0.640416,1.75604,962,0.28,21.4,2453235,16.2,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,0.640416,0.78,
Kepler-1375 b,,0.0493278,3.3004192,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0128259,1.47,
Kepler-454 b,0.0215581,0.0951314,10.57,0,90,2455008.067,1.96,Gettel 2016,http://adsabs.harvard.edu/abs/2016ApJ...816...95G,Gettel 2016,http://adsabs.harvard.edu/abs/2016ApJ...816...95G,0.0215859,1.028,87.09
70 Vir b,7.46144,0.483601,116.6884,0.4007,358.71,2447239.82,316.3,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.147M,7.46144,1.101,
HD 102365 b,0.0509774,0.463328,122.1,0.34,105,2450129,2.4,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..103T,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..103T,0.0509774,0.89,
BD -08 2823 b,0.045941,0.0558236,5.6,0.15,30,2454637.7,6.5,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,0.045941,0.74,
Kepler-1276 b,,0.110538,12.5720095,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0053608,1.14,
