JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458484.29302,15.533,0.053,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,2.87,Z,18.939,19.133,2458484.28926,V353 VUL,VVS,STD,,,,
2458553.70870,14.794,0.053,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.67,Z,19.680,19.923,2458553.70571,V353 VUL,VVS,STD,,,,
2458553.70944,14.794,0.055,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.67,Z,19.637,19.881,2458553.70645,V353 VUL,VVS,STD,,,,
2458553.71019,14.768,0.054,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.66,Z,19.656,19.886,2458553.70720,V353 VUL,VVS,STD,,,,
2458557.00241,14.458,0.108,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-6.772|VERR=0.014|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,1.775,Z,-8.175,-7.955,,V0353 VUL,AAVSO,STD,106,,,
2458557.00957,12.066,0.089,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-9.005|VERR=0.006|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,1.684,Z,-8.587,-8.488,,V0353 VUL,AAVSO,STD,106,,,
2458571.67426,14.022,0.045,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.53,Z,18.862,19.057,2458571.67232,V353 VUL,VVS,STD,,,,
2458571.67501,14.072,0.043,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.52,Z,18.816,19.055,2458571.67307,V353 VUL,VVS,STD,,,,
2458571.67575,14.045,0.042,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.52,Z,18.822,19.022,2458571.67381,V353 VUL,VVS,STD,,,,
2458577.67790,14.055,0.014,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.38,Z,18.760,18.994,2458577.67635,V353 VUL,VVS,STD,,,,
