JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2415241.63,11.70,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415246.63,11.13,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415251.63,10.70,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415261.63,10.06,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415267.58,9.85,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415278.54,9.43,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415284.63,8.89,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415303.54,9.37,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415319.54,9.50,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415339.50,9.86,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415353.50,10.39,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415365.50,10.45,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415383.54,11.20,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415689.58,8.66,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415740.79,9.24,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415837.88,11.43,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415941.63,<12.30,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415962.71,<13.10,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415965.63,13.20,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415989.58,<12.30,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416017.67,<13.20,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416029.67,13.60,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416030.67,12.10,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416047.58,11.73,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416051.00,<12.20,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416054.63,11.85,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416057.67,11.49,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416084.58,10.00,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416084.75,<12.10,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416110.79,8.75,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416399.54,12.60,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416401.63,12.70,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416850.54,12.57,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416891.96,11.27,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416929.96,9.50,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416940.92,8.75,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416966.88,9.17,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2416997.67,10.23,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417019.67,11.25,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417023.71,11.50,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417053.63,11.57,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417064.67,11.80,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417067.63,12.25,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417086.63,12.38,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417112.54,12.73,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417120.67,13.11,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417139.54,<12.80,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417140.63,13.57,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417168.50,13.37,,,Vis.,PJA,,NA,,NA,P141;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2417185.6,<12.1,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417194.5,<12.1,,,Vis.,CN,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417332.8,9.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417420.7,10.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417469.6,11.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417497.6,12.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417528.6,13.9,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417817.6,9.9,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417844.6,11.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417845.6,<11.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417849.6,12.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417858.6,12.1,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417889.6,13.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417915.6,13.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417963.5,13.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418095.7,13.8,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418193.5,10.5,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418217.7,10.9,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418229.6,10.8,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418237.6,<11.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418245.5,10.9,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418263.5,12.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418266.5,12.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418292.6,13.5,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418568.6,8.8,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418588.5,8.5,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418600.6,9.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418610.5,9.5,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418626.6,10.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418910.6,12.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418925.6,10.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418958.5,9.5,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418974.6,9.3,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418995.5,8.1,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
