JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2440115.6,13.2,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440128.6,12.5,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440139.6,11.6,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440146.6,11.3,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440153.6,10.6,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440159.6,10.4,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440160.5,10.5,,,Vis.,BRJ,,,,,,,,V,,,,AU CYG,,STD,,,,
2440163.6,10.0,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440171.6,9.9,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440183.6,10.0,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440197.5,10.6,,,Vis.,BRJ,,,,,,,,V,,,,AU CYG,,STD,,,,
2440197.5,10.6,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440220.5,11.5,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440395.7,<14.0,,,Vis.,FD,,,,,,,,V,,,,AU CYG,,STD,,,,
2440404.7,<13.5,,,Vis.,FD,,,,,,,,V,,,,AU CYG,,STD,,,,
2440417.8,16.0,,,Vis.,FD,,,,,,,,V,,,,AU CYG,,STD,,,,
2440417.9,16.0,,,Vis.,CE,,,,,,,,V,,,,AU CYG,,STD,,,,
2440418.7,<13.7,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440475.7,<13.3,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440485.7,<13.5,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440494.6,<13.7,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440509.6,<13.8,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440548.7,13.2,,,Vis.,CR,,,,,,,,V,,,,AU CYG,,STD,,,,
2440554.6,<13.2,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440576.5,11.7,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440584.5,10.9,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440597.5,10.7,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
2440688.8,11.9,,,Vis.,FD,,,,,,,,V,,,,AU CYG,,STD,,,,
2440735.8,13.0,,,Vis.,HZL,,,,,,,,V,,,,AU CYG,,STD,,,,
2440797.7,14.8,,,Vis.,CR,,,,,,,,V,,,,AU CYG,,STD,,,,
2440857.6,14.0,,,Vis.,AD,,,,,,,,V,,,,AU CYG,,STD,,,,
2440865.6,<13.5,,,Vis.,FD,,,,,,,,V,,,,AU CYG,,STD,,,,
2440889.6,<13.4,,,Vis.,LX,,,,,,,,V,,,,AU CYG,,STD,,,,
