source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val
604715559733044992,133.58793303530308,0.025744636880226882,11.521073114602883,0.016505225429552288,4.7512416072402335,0.034404780366923245,-57.9602973968289,-27.256289343751316,14.328639,15.230965,13.393983,1.8369818,,,NOT_AVAILABLE,3984.25,0.836,0.67375904,0.103060015
604630759898812800,133.32860103431776,0.1379127877866854,11.107593303399439,0.082695016944159,2.8346236740784123,0.1887830393046587,13.37501041061085,-32.04132717458311,18.093666,19.302343,16.932838,2.369505,,,NOT_AVAILABLE,,,,
604708305533442176,133.2838245446119,0.07669963340695969,11.543055409562118,0.04675369152380521,1.2282043561549194,0.09862992061294266,-1.3555781860458112,-10.691898014687817,16.910961,17.707632,16.034353,1.6732788,,,NOT_AVAILABLE,4208.9023,0.789,0.6649683,0.12501785
604766240347081344,134.49174598358462,0.03182531397732395,11.834946052688846,0.027952756786223082,1.4281292286727376,0.037630341297135224,-9.532629745440476,-19.563489138424696,13.624682,13.981221,13.112548,0.8686733,,,NOT_AVAILABLE,5761.0,0.3087,1.1431435,1.2968441
604725146100018816,133.82373459960982,0.062306669062758266,11.683183071830204,0.03805212988106256,1.7083114225789664,0.07565706975532896,-22.478697210092918,0.6472038794189817,16.39514,17.21783,15.499368,1.718463,,,NOT_AVAILABLE,4245.5,0.406,0.59003544,0.10189815
604836746530147328,134.08747270916982,0.032245944285383056,12.133028797784158,0.021248820329890776,0.9865174972484337,0.04429019986785684,-14.42435798018106,-3.5994834059246674,14.84785,15.2099495,14.322583,0.8873663,,,NOT_AVAILABLE,5878.7603,0.173,0.90180415,0.875109
604707961935241088,133.3847916111548,0.035583659875200124,11.575781682718109,0.02106525190673326,3.8862272354471874,0.048098779718554883,12.103271210795949,-17.831209004041686,14.687458,15.484813,13.81873,1.6660824,,,NOT_AVAILABLE,4273.5,0.046,0.5579355,0.093540035
604733663019676416,133.49627647409815,0.13413729890910292,11.664169786785381,0.07555369483430638,3.0786015779100295,0.17191877552099122,-17.28635557482067,-7.903348261213511,17.800795,19.079815,16.650833,2.4289818,,,NOT_AVAILABLE,,,,
604627049047069184,133.37946433893063,0.04371820416357103,11.024600530235515,0.027284349397444365,2.6017645299463212,0.05307154127726662,-9.717264738172453,-8.714824722198692,16.000881,16.954943,15.037571,1.9173717,,,NOT_AVAILABLE,3855.5,0.0917,0.63536376,0.08036417
604711539643602816,133.1497936425596,0.028238712590746392,11.623532920746047,0.018814174072602483,1.1772409600226506,0.036414848920766026,-10.560527185394314,-3.1244601391908455,14.841743,15.241959,14.283127,0.9588318,,,NOT_AVAILABLE,5361.5,0.059,0.9312505,0.6456141
