JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458967.59971,<17.77,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.454,Z,17.953,18.139,,V1655 CYG,VVS,STD,,,,
2458968.63417,18.738,0.639,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.245,Z,17.331,17.531,,V1655 CYG,VVS,STD,,,,
2458970.63360,18.273,0.482,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.224,Z,17.593,17.764,,V1655 CYG,VVS,STD,,,,
2458971.63331,<17.94,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.214,Z,17.597,17.796,,V1655 CYG,VVS,STD,,,,
2458972.63446,<17.93,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.199,Z,17.558,17.752,,V1655 CYG,VVS,STD,,,,
2458975.63449,<17.31,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.170,Z,17.691,17.892,,V1655 CYG,VVS,STD,,,,
2458977.63079,18.706,1.000,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.164,Z,17.254,17.451,,V1655 CYG,VVS,STD,,,,
2458985.62470,<15.40,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.117,Z,20.307,20.493,,V1655 CYG,VVS,STD,,,,
2458986.62546,<18.18,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.107,Z,17.298,17.509,,V1655 CYG,VVS,STD,,,,
2458987.62568,18.000,0.374,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.100,Z,17.261,17.459,,V1655 CYG,VVS,STD,,,,
