Frequency (GHz)      Flux (Jy)
     42.3638852     -0.0075156
     42.3641352     -0.0118926
     42.3643852     -0.0133167
     42.3646352     -0.0185938
     42.3648852     -0.0061535
     42.3651352      0.0003252
     42.3653852      0.0108660
     42.3656352     -0.0244973
     42.3658852     -0.0014675
     42.3661352     -0.0350129
     42.3663852     -0.0217610
     42.3666352      0.0458362
     42.3668852      0.0159558
     42.3671352     -0.0050047
     42.3673852      0.0037897
     42.3676352      0.0300345
     42.3678852      0.0002104
     42.3681352     -0.0007015
     42.3683852      0.0176665
     42.3686352     -0.0132224
     42.3688852     -0.0166007
     42.3691352      0.0542761
     42.3693852      0.0265273
     42.3696352      0.0141624
     42.3698852     -0.0260708
     42.3701352      0.0325187
     42.3703852     -0.0079843
     42.3706352      0.0307020
     42.3708852      0.0171511
     42.3711352     -0.0443822
     42.3713852      0.0104178
     42.3716352      0.0004817
     42.3718852     -0.0056801
     42.3721352      0.0281467
     42.3723852     -0.0185001
     42.3726352     -0.0049765
     42.3728852     -0.0158269
     42.3731352     -0.0137957
     42.3733852     -0.0237763
     42.3736352      0.0334135
     42.3738852     -0.0024132
     42.3741352     -0.0025287
     42.3743852      0.0160132
     42.3746352     -0.0313451
     42.3748852      0.0369854
     42.3751352     -0.0134602
     42.3753852     -0.0087691
     42.3756352     -0.0258121
     42.3758852      0.0026110
     42.3761352      0.0226386
     42.3763852      0.0132961
     42.3766352      0.0253664
     42.3768852      0.0083625
     42.3771352     -0.0238478
     42.3773852      0.0163267
     42.3776352     -0.0010643
     42.3778852      0.0085317
     42.3781352     -0.0045695
     42.3783852      0.0212591
     42.3786352      0.0026639
     42.3788852     -0.0237914
     42.3791352     -0.0308481
     42.3793852     -0.0046453
     42.3796352     -0.0299456
     42.3798852      0.0003130
     42.3801352     -0.0562687
     42.3803852     -0.0132899
     42.3806352     -0.0162870
     42.3808852      0.0394008
     42.3811352     -0.0058929
     42.3813852     -0.0177096
     42.3816352      0.0125412
     42.3818852     -0.0067911
     42.3821352      0.0346760
     42.3823852     -0.0189651
     42.3826352     -0.0095267
     42.3828852     -0.0079144
     42.3831352     -0.0008345
     42.3833852     -0.0259160
     42.3836352      0.0002597
     42.3838852      0.0194175
     42.3841352     -0.0350566
     42.3843852     -0.0117088
     42.3846352     -0.0243732
     42.3848852     -0.0107334
     42.3851352     -0.0556586
     42.3853852      0.0096337
     42.3856352      0.0157503
     42.3858852      0.0404328
     42.3861352     -0.0398395
     42.3863852     -0.0351579
     42.3866352     -0.0102092
     42.3868852     -0.0268488
     42.3871352      0.0021259
     42.3873852      0.0204786
     42.3876352      0.0075042
     42.3878852      0.0044560
     42.3881352      0.0025623
     42.3883852      0.0062060
     42.3886352     -0.0246206
     42.3888852      0.0224546
     42.3891352      0.0173836
     42.3893852      0.0378512
     42.3896352      0.0064049
     42.3898852     -0.0177393
     42.3901352      0.0166343
     42.3903852      0.0281168
     42.3906352     -0.0094690
     42.3908852     -0.0080338
     42.3911352     -0.0372793
     42.3913852      0.0049533
     42.3916352      0.0335404
     42.3918852     -0.0116674
     42.3921352     -0.0135288
     42.3923852     -0.0001764
     42.3926352     -0.0151838
     42.3928852      0.0050741
     42.3931352     -0.0065900
     42.3933852      0.0097813
     42.3936352      0.0243083
     42.3938852      0.0120970
     42.3941352      0.0280993
     42.3943852     -0.0013757
     42.3946352     -0.0191511
     42.3948852     -0.0352428
     42.3951352      0.0078248
     42.3953852      0.0253887
     42.3956352     -0.0026632
     42.3958852      0.0194895
     42.3961352     -0.0084843
     42.3963852      0.0219649
     42.3966352     -0.0259935
     42.3968852      0.0136553
     42.3971352      0.0145204
     42.3973852     -0.0007660
     42.3976352      0.0006353
     42.3978852      0.0101015
     42.3981352      0.0125323
     42.3983852      0.0030012
     42.4031352      0.0040548
     42.4033852     -0.0045079
     42.4036352     -0.0033944
     42.4038852     -0.0134994
     42.4041352      0.0048987
     42.4043852     -0.0307626
     42.4046352     -0.0155895
     42.4048852     -0.0347710
     42.4051352      0.0221712
     42.4053852     -0.0081237
     42.4056352     -0.0440907
     42.4058852     -0.0302073
     42.4061352      0.0240790
     42.4063852      0.0309156
     42.4066352      0.0098077
     42.4068852     -0.0096294
     42.4071352     -0.0133001
     42.4073852     -0.0352181
     42.4076352      0.0067782
     42.4078852      0.0100959
     42.4081352     -0.0212338
     42.4083852      0.0032451
     42.4086352      0.0053221
     42.4088852      0.0253684
     42.4091352      0.0215629
     42.4093852     -0.0074941
     42.4096352     -0.0134630
     42.4098852      0.0221198
     42.4101352     -0.0177474
     42.4103852      0.0349307
     42.4106352     -0.0166200
     42.4108852      0.0110526
     42.4111352      0.0295340
     42.4113852     -0.0015179
     42.4116352      0.0094190
     42.4118852     -0.0124393
     42.4121352      0.0039105
     42.4123852     -0.0691634
     42.4126352     -0.0181058
     42.4128852     -0.0316285
     42.4131352     -0.0295269
     42.4133852     -0.0233273
     42.4136352      0.0190052
     42.4138852      0.0181686
     42.4141352     -0.0176603
     42.4143852     -0.0069079
     42.4146352      0.0235910
     42.4148852      0.0246926
     42.4151352      0.0116595
     42.4153852      0.0231862
     42.4156352      0.0193459
     42.4158852     -0.0279102
     42.4161352      0.0024825
     42.4163852     -0.0079813
     42.4166352      0.0323733
     42.4168852     -0.0086083
     42.4171352      0.0136369
     42.4173852     -0.0036567
     42.4176352     -0.0050063
     42.4178852     -0.0036454
     42.4181352     -0.0038259
     42.4183852      0.0189953
     42.4186352     -0.0155644
     42.4188852     -0.0072246
     42.4191352     -0.0401336
     42.4193852     -0.0171154
     42.4196352     -0.0275526
     42.4198852      0.0161860
     42.4201352     -0.0182568
     42.4203852     -0.0177073
     42.4206352      0.0109050
     42.4208852     -0.0190598
     42.4211352      0.0136475
     42.4213852      0.0344630
     42.4216352      0.0070138
     42.4218852      0.0077343
     42.4221352     -0.0075178
     42.4223852     -0.0183934
     42.4226352     -0.0329265
     42.4228852      0.0003360
     42.4231352     -0.0270216
     42.4233852     -0.0248877
     42.4236352     -0.0189128
     42.4238852     -0.0283886
     42.4241352      0.0065848
     42.4243852     -0.0097265
     42.4246352      0.0131723
     42.4248852     -0.0106150
     42.4251352      0.0256313
     42.4253852     -0.0055552
     42.4256352      0.0100165
     42.4258852      0.0152465
     42.4261352      0.0258304
     42.4263852      0.0248925
     42.4266352     -0.0348223
     42.4268852     -0.0373067
     42.4271352     -0.0131508
     42.4273852      0.0213140
     42.4276352      0.0123927
     42.4278852     -0.0065555
     42.4281352     -0.0166398
     42.4283852      0.0038658
     42.4286352      0.0121544
     42.4288852     -0.0280228
     42.4291352     -0.0028480
     42.4293852      0.0176823
     42.4296352     -0.0283895
     42.4298852     -0.0071950
     42.4301352      0.0088434
     42.4303852      0.0339647
     42.4306352     -0.0121613
     42.4308852     -0.0133827
     42.4311352      0.0212005
     42.4313852      0.0329821
     42.4316352     -0.0134866
     42.4318852     -0.0053268
     42.4321352     -0.0384052
     42.4323852      0.0095605
     42.4326352      0.0162371
     42.4328852     -0.0132056
     42.4331352     -0.0262222
