tphys,kstar_1,mass_1,lum_1,deltam_1,RRLO_1,kstar_2,mass_2,lum_2,deltam_2,RRLO_2,porb,sep,bin_state,merger_type,bin_num
8.578336468614593,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777377677003656,6925.189450905921,-1.3515747548584561e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.588336468614592,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777377541759117,6927.37765067525,-1.3524453910562356e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.598336468614592,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737740642742,6929.567606751894,-1.353316978313265e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.608336468614592,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777377271008467,6931.759320363952,-1.3541895174549817e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.618336468614592,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777377135502165,6933.9527927407225,-1.3550630093074629e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.628336468614592,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737699990842,6936.148025112709,-1.3559374546974957e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.638336468614591,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777376864227135,6938.345018711607,-1.3568128544525124e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.648336468614591,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777376728458213,6940.543774770313,-1.3576892094006051e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.658336468614591,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777376592601561,6942.74429452294,-1.3585665203705546e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.66833646861459,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777376456657082,6944.946579204787,-1.3594447881918183e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.67833646861459,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737632062468,6947.150630052369,-1.3603240136944694e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.68833646861459,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777376184504261,6949.356448303403,-1.361204197709291e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.69833646861459,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777376048295727,6951.56403519682,-1.3620853410677316e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.70833646861459,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777375911998982,6953.773391972748,-1.362967444601871e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.71833646861459,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777375775613931,6955.984519872533,-1.363850509144488e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.72833646861459,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777375639140478,6958.197420138726,-1.3647345355289867e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.73833646861459,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777375502578526,6960.412094015101,-1.3656195245894632e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.748336468614589,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777375365927979,6962.62854274663,-1.3665054771606673e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.758336468614589,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737522918874,6964.846767579506,-1.3673923940779847e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
