# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 220.041800051771
# DEC: 42.777619435527
# OBS_DATE: 2021-01-11 00:00:00+00:00
# REDSHIFT: 0.00838532
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 58684
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3753.128,3.37215e-01,3.68785e-02
3755.662,1.16969e+00,5.60550e-02
3758.195,1.88442e+00,6.64111e-02
3760.728,1.54834e+00,6.07539e-02
3763.261,7.17037e-01,4.60294e-02
3765.795,2.25510e-01,3.25369e-02
3768.328,1.47126e-01,2.66998e-02
3770.861,1.62995e-01,2.93531e-02
3773.395,1.51325e-01,2.54548e-02
3775.928,7.13841e-02,2.78197e-02
3778.461,4.81107e-02,2.69953e-02
3780.995,1.28684e-01,2.89903e-02
3783.528,1.34463e-01,2.84954e-02
3786.061,2.12470e-01,2.91556e-02
3788.594,1.55976e-01,2.92651e-02
3791.128,1.21208e-01,2.88269e-02
3793.661,1.30990e-01,2.88461e-02
3796.194,1.94308e-01,2.98383e-02
3798.728,1.51056e-01,2.64303e-02
3801.261,1.49604e-01,2.57680e-02
3803.794,8.96102e-02,2.54836e-02
3806.327,1.13610e-01,2.75179e-02
3808.861,7.71345e-02,2.74905e-02
3811.394,7.63457e-02,2.60734e-02
3813.927,1.32865e-01,2.61524e-02
3816.461,1.05827e-01,2.54499e-02
3818.994,1.35007e-01,2.87585e-02
3821.527,2.04947e-01,2.94085e-02
3824.061,1.35893e-01,2.68042e-02
3826.594,1.49566e-01,2.65106e-02
3829.127,1.71049e-01,2.60942e-02
3831.660,1.16312e-01,2.49038e-02
3834.194,1.04236e-01,2.71000e-02
3836.727,1.05301e-01,2.96937e-02
3839.260,1.20147e-01,2.77679e-02
3841.794,1.30978e-01,2.54633e-02
3844.327,1.12450e-01,2.64231e-02
3846.860,1.26807e-01,2.69611e-02
3849.394,1.54852e-01,2.83025e-02
