# INSTRUMENT_ID: 18
# OBS_GROUP_ID: 2
# UNIT_ID: None
# RA: 23.56025
# DEC: -29.4402777777778
# OBS_DATE: 2016-09-21 21:16:20+00:00
# REDSHIFT: 0.0049
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 2275
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3723.282,5.83516e-15,-9.90000e+01
3724.216,5.86347e-15,-9.90000e+01
3725.149,5.82358e-15,-9.90000e+01
3726.083,5.80320e-15,-9.90000e+01
3727.017,5.84911e-15,-9.90000e+01
3727.950,5.80862e-15,-9.90000e+01
3728.884,5.75449e-15,-9.90000e+01
3729.818,5.82158e-15,-9.90000e+01
3730.751,5.77026e-15,-9.90000e+01
3731.685,5.67781e-15,-9.90000e+01
3732.619,5.75026e-15,-9.90000e+01
3733.552,5.88503e-15,-9.90000e+01
3734.486,5.87716e-15,-9.90000e+01
3735.420,5.82438e-15,-9.90000e+01
3736.353,5.84452e-15,-9.90000e+01
3737.287,5.80420e-15,-9.90000e+01
3738.221,5.77041e-15,-9.90000e+01
3739.154,5.78702e-15,-9.90000e+01
3740.088,5.84476e-15,-9.90000e+01
3741.022,5.90459e-15,-9.90000e+01
3741.955,5.93065e-15,-9.90000e+01
3742.889,5.90287e-15,-9.90000e+01
3743.823,5.80023e-15,-9.90000e+01
3744.756,5.80632e-15,-9.90000e+01
3745.690,5.88586e-15,-9.90000e+01
3746.624,5.85698e-15,-9.90000e+01
3747.557,5.84974e-15,-9.90000e+01
3748.491,5.96519e-15,-9.90000e+01
3749.425,5.85513e-15,-9.90000e+01
3750.358,5.85598e-15,-9.90000e+01
3751.292,5.77958e-15,-9.90000e+01
3752.226,5.80388e-15,-9.90000e+01
3753.159,5.87275e-15,-9.90000e+01
3754.093,5.85745e-15,-9.90000e+01
3755.027,5.75307e-15,-9.90000e+01
3755.960,5.73194e-15,-9.90000e+01
3756.894,5.82630e-15,-9.90000e+01
3757.828,5.84188e-15,-9.90000e+01
3758.761,5.80119e-15,-9.90000e+01
3759.695,5.79084e-15,-9.90000e+01
3760.629,5.76424e-15,-9.90000e+01
3761.562,5.76339e-15,-9.90000e+01
3762.496,5.80671e-15,-9.90000e+01
3763.430,5.80939e-15,-9.90000e+01
3764.363,5.79268e-15,-9.90000e+01
3765.297,5.81766e-15,-9.90000e+01
3766.231,5.83541e-15,-9.90000e+01
3767.164,5.76080e-15,-9.90000e+01
3768.098,5.67914e-15,-9.90000e+01
3769.032,5.71995e-15,-9.90000e+01
3769.965,5.73165e-15,-9.90000e+01
3770.899,5.76724e-15,-9.90000e+01
3771.833,5.81102e-15,-9.90000e+01
3772.766,5.82087e-15,-9.90000e+01
3773.700,5.85373e-15,-9.90000e+01
3774.634,5.83979e-15,-9.90000e+01
3775.567,5.92757e-15,-9.90000e+01
3776.501,5.91364e-15,-9.90000e+01
3777.435,5.84190e-15,-9.90000e+01
3778.368,5.74826e-15,-9.90000e+01
3779.302,5.76632e-15,-9.90000e+01
3780.236,5.84015e-15,-9.90000e+01
3781.169,5.79949e-15,-9.90000e+01
3782.103,5.78295e-15,-9.90000e+01
3783.037,5.86294e-15,-9.90000e+01
3783.970,5.87488e-15,-9.90000e+01
3784.904,5.86239e-15,-9.90000e+01
3785.838,5.85266e-15,-9.90000e+01
3786.771,5.82047e-15,-9.90000e+01
