tphys,kstar_1,mass0_1,mass_1,lum_1,rad_1,teff_1,massc_1,radc_1,menv_1,renv_1,epoch_1,omega_spin_1,deltam_1,RRLO_1,kstar_2,mass0_2,mass_2,lum_2,rad_2,teff_2,massc_2,radc_2,menv_2,renv_2,epoch_2,omega_spin_2,deltam_2,RRLO_2,porb,sep,ecc,B_1,B_2,SN_1,SN_2,bin_state,merger_type,bin_num
5.849342201266905,1.0,56.713818127818,56.713818127818,787596.9977382654,16.525691631838924,42487.95237094911,0.0,0.0,1e-10,1e-10,2.4479873233974843,2178.9079676136607,-8.681463303445944e-07,0.02234390059253704,14.0,13.641792156207568,11.611779387990982,1e-10,4.9233944605081764e-05,2612.987273633207,11.611779387990982,4.9233944605081764e-05,1e-10,1e-10,5.8393422012669065,227366475.9104069,4.1133058736001035e-11,1.3628011801151515e-07,939.9354622838111,1650.2322225710407,0.13600503677581882,0.0,0.0,0.0,1.0,0,-1,0
5.859342201266905,1.0,56.70512044196239,56.70512044196239,789273.9779682842,16.60699871108774,42406.35854955376,0.0,0.0,1e-10,1e-10,2.4477315438435245,2161.396473050489,-8.717676673476223e-07,0.022451548833135226,14.0,13.641792156207568,11.611779801850762,1e-10,4.923394635984723e-05,2612.9872270679793,11.611779801850762,4.923394635984723e-05,1e-10,1e-10,5.8393422012669065,255157540.0866941,4.169987077249817e-11,1.3625701896380275e-07,940.1747015238536,1650.4421950690148,0.13600503352825713,0.0,0.0,0.0,1.0,0,-1,0
5.869342201266905,1.0,56.69638662448041,56.69638662448041,790956.5845852663,16.689517441120273,42323.919771076224,0.0,0.0,1e-10,1e-10,2.447473846038172,2143.8337017396525,-8.753711279762133e-07,0.022560803063537225,14.0,13.641792156207568,11.611780221423345,1e-10,4.9233948138834976e-05,2612.987179859981,11.611780221423345,4.9233948138834976e-05,1e-10,1e-10,5.8393422012669065,283381538.68162787,4.2276807529752566e-11,1.3623382499390158e-07,940.4150254740274,1650.653092403894,0.13600503023576113,0.0,0.0,0.0,1.0,0,-1,0
5.879342201266905,1.0,56.687616861386175,56.687616861386175,792644.8410981168,16.77327531307159,42240.6247095101,0.0,0.0,1e-10,1e-10,2.447214227390833,2126.220073259769,-8.789550773680685e-07,0.022671699848161808,14.0,13.641792156207568,11.611780646810866,1e-10,4.923394994247808e-05,2612.987131997719,11.611780646810866,4.923394994247808e-05,1e-10,1e-10,5.8393422012669065,312047006.760525,4.286407355526886e-11,1.3621053661069669e-07,940.6564301726663,1650.8649107370857,0.1360050268975259,0.0,0.0,0.0,1.0,0,-1,0
5.8893422012669046,1.0,56.67881135531832,56.67881135531832,794338.7715772531,16.858300601893536,42156.46190010805,0.0,0.0,1e-10,1e-10,2.4469526858445847,2108.5560352663847,-8.82517817687154e-07,0.022784276796746886,14.0,13.641792156207568,11.611781078117533,1e-10,4.9233951771218344e-05,2612.987083469472,11.611781078117533,4.9233951771218344e-05,1e-10,1e-10,5.8393422012669065,341162672.57273686,4.346187708473592e-11,1.3618715436728034e-07,940.8989111973993,1651.077645826041,0.13600502351273025,0.0,0.0,0.0,1.0,0,-1,0
5.899342201266904,1.0,56.669970326178166,56.669970326178166,796038.4006782154,16.944622391984016,42071.41973985644,0.0,0.0,1e-10,1e-10,2.4466892199020487,2090.8420644970097,-8.860575861505167e-07,0.022898572598602725,14.0,13.641792156207568,11.611781515449646,1e-10,4.923395362550649e-05,2612.987034263277,11.611781515449646,4.923395362550649e-05,1e-10,1e-10,5.8393422012669065,370737461.8818665,4.407043003687692e-11,1.3616367886263947e-07,941.1424636465767,1651.2912930082389,0.13600502008053642,0.0,0.0,0.0,1.0,0,-1,0
5.909342201266904,1.0,56.66109401178798,56.66109401178798,797743.7536661479,17.032270603775927,41985.486488055125,0.0,0.0,1e-10,1e-10,2.4464238286521995,2073.0786677945543,-8.895725530166498e-07,0.02301462705815137,14.0,13.641792156207568,11.611781958915634,1e-10,4.923395550580229e-05,2612.9869843669344,11.611781958915634,4.923395550580229e-05,1e-10,1e-10,5.8393422012669065,400780502.3516048,4.468994800091589e-11,1.3614011074339574e-07,941.387082120092,1651.505847184655,0.13600501660008982,0.0,0.0,0.0,1.0,0,-1,0
5.919342201266904,1.0,56.65218266856935,56.65218266856935,799454.8564411781,17.121276021327027,41898.650267006036,0.0,0.0,1e-10,1e-10,2.446156511798156,2055.2663831486307,-8.930608195367702e-07,0.023132481131807662,14.0,13.641792156207568,11.61178240862611,1e-10,4.9233957412574704e-05,2612.9869337679997,11.61178240862611,4.9233957412574704e-05,1e-10,1e-10,5.8393422012669065,431301127.98367566,4.532065021597187e-11,1.3611645070559876e-07,941.6327606995932,1651.7213028027154,0.13600501307051874,0.0,0.0,0.0,1.0,0,-1,0
5.929342201266904,1.0,56.64323657224229,56.64323657224229,801171.7355647095,17.211670320953978,41810.89906281472,0.0,0.0,1e-10,1e-10,2.445887269685958,2037.405780754088,-8.965204158704201e-07,0.02325217696625984,14.0,13.641792156207568,11.611782864693888,1e-10,4.9233959346302086e-05,2612.986882453781,11.611782864693888,4.9233959346302086e-05,1e-10,1e-10,5.8393422012669065,462308883.60390514,4.59627595416374e-11,1.360926994965727e-07,941.8794929280704,1651.9376538387164,0.13600500949093405,0.0,0.0,0.0,1.0,0,-1,0
5.9393422012669035,1.0,56.63425601854533,56.63425601854533,802894.4182866658,17.303486100955702,41722.22072630904,0.0,0.0,1e-10,1e-10,2.445616103334368,2019.4974640861794,-8.999492989672651e-07,0.023373757938210653,14.0,13.641792156207568,11.611783327234026,1e-10,4.923396130747226e-05,2612.9868304113297,11.611783327234026,4.923396130747226e-05,1e-10,1e-10,5.8393422012669065,493813529.39188224,4.661650241895515e-11,1.3606885791682e-07,942.1272717887947,1652.154893779696,0.13600500586042868,0.0,0.0,0.0,1.0,0,-1,0
