,Designation,Abs Mag,Slope Param,Epoch,Mean anom (deg),Argument of Perihelion (deg),Longitude of Ascending Node (deg),Inclination to Ecliptic (deg),Eccentricity,Mean daily motion (deg/day),Semimajor Axis (AU),Reference,N observation,N oppositions,Readable Designation,Date of last observation
0,01566,16.5,0.15,K232P,352.54819,31.44177,87.95165,22.79955,0.8268694,0.88043904,1.0781268,MPO719076,1330,39,(1566) Icarus,2022-08-01
1,01620,15.32,0.15,K232P,224.05341,276.96118,337.17213,13.33636,0.3355349,0.70892138,1.2456729,E2023-C50,5375,40,(1620) Geographos,2023-02-07
2,01862,16.11,0.09,K232P,281.2475,286.0551,35.56144,6.35319,0.5598742,0.55263363,1.4706563,E2023-C29,2204,34,(1862) Apollo,2023-02-01
3,01981,15.28,0.15,K232P,9.03147,267.81921,356.85489,39.8299,0.6499887,0.41622302,1.7765823,MPO691531,1052,25,(1981) Midas,2021-10-20
4,02101,18.72,0.15,K232P,0.32752,43.63171,349.47384,1.3217,0.7643457,0.38424878,1.8738193,MPO727488,134,11,(2101) Adonis,2020-06-09
5,02102,15.97,0.15,K232P,34.6545,61.52961,94.35419,64.00086,0.2992845,0.67263262,1.2900823,MPO727488,1424,22,(2102) Tantalus,2022-12-23
6,02135,18.05,0.15,K232P,270.06609,290.97128,191.12407,23.07184,0.5029492,0.48710484,1.5997585,MPO691534,61,12,(2135) Aristaeus,2020-05-30
7,02201,15.35,0.15,K232P,150.40177,98.38168,74.90865,2.52162,0.7121354,0.30692099,2.1766319,MPO727489,1165,33,(2201) Oljato,2022-10-02
8,02340,20.32,0.15,K232P,10.46038,40.08603,211.30562,5.86045,0.4498838,1.27162753,0.8437804,MPO727492,555,12,(2340) Hathor,2021-12-05
9,03122,13.88,0.15,K232P,109.36832,27.86725,336.06372,22.14385,0.4232166,0.41894658,1.7688742,E2023-C46,5190,28,(3122) Florence,2023-02-03
10,03200,14.39,0.15,K232P,196.50612,322.21663,265.17234,22.27354,0.8898954,0.68755987,1.2713419,MPO727506,6706,40,(3200) Phaethon,2023-01-25
11,03361,19.39,0.15,K232P,300.44587,302.35683,188.67849,2.66207,0.3228838,0.74008611,1.2104529,MPO691557,1122,18,(3361) Orpheus,2022-02-10
12,03362,18.52,0.15,K232P,119.11471,55.04991,152.42407,9.91735,0.4685756,1.00128865,0.989532,MPO691557,247,18,(3362) Khufu,2004-11-27
13,03671,16.6,0.15,K232P,310.23951,204.29617,82.06605,13.52593,0.5410279,0.30217759,2.199351,E2023-C29,721,18,(3671) Dionysus,2023-02-02
14,03757,19.05,0.15,K232P,55.76179,17.22338,74.92871,3.86613,0.4455608,0.3965465,1.8348757,MPO691564,148,9,(3757) Anagolay,2019-09-19
15,04015,16.2,0.15,K232P,42.7335,95.44558,266.77269,2.79919,0.6316588,0.23181505,2.6244701,E2023-C50,1556,23,(4015) Wilson-Harrington,2023-01-31
16,04034,18.52,0.15,K232P,78.20649,296.70044,157.90214,11.16836,0.443959,0.9036125,1.0596145,MPO719118,648,19,(4034) Vishnu,2022-08-15
17,04179,15.32,0.15,K232P,193.9976,277.89239,125.30479,0.44826,0.624609,0.24283543,2.5444544,MPO691572,6496,29,(4179) Toutatis,2022-04-10
18,04183,14.18,0.15,K232P,323.78398,237.0387,294.35251,6.66874,0.6360161,0.35344406,1.9811724,E2023-C43,3212,31,(4183) Cuno,2023-02-03
19,04450,17.27,0.15,K232P,210.7937,291.83776,311.77429,5.52021,0.5866946,0.56912264,1.4421114,MPO727526,1329,25,(4450) Pan,2022-12-24
20,04486,15.64,0.15,K232P,336.11365,168.88571,82.23868,3.03821,0.6624579,0.30197071,2.2003554,E2023-C40,1018,27,(4486) Mithra,2023-02-04
21,04581,20.74,0.15,K232P,0.25165,255.3625,180.20591,4.91783,0.3569237,0.95306773,1.0226339,MPO727528,411,13,(4581) Asclepius,2021-04-18
22,04660,18.65,0.15,K232P,225.21521,159.52129,313.13803,1.45374,0.3587754,0.54463328,1.4850233,MPO727529,2735,18,(4660) Nereus,2022-05-31
23,04769,17.53,0.15,K232P,144.61697,121.41009,325.53115,8.88544,0.4830927,0.89901759,1.0632219,E2022-N78,295,16,(4769) Castalia,2022-07-10
24,04953,14.86,0.15,K232P,358.5072,77.94796,77.53406,24.3776,0.6574222,0.47738004,1.6214114,MPO727533,1380,29,(4953) 1990 MU,2023-01-21
25,05011,16.71,0.15,K232P,251.07603,105.94524,10.64182,7.41033,0.5000979,0.47105108,1.6359024,MPO691588,619,22,(5011) Ptah,2021-07-20
26,05189,17.85,0.15,K232P,311.67811,159.95166,135.0698,3.57878,0.4779891,0.509832,1.5518557,MPO727537,1477,21,(5189) 1990 UQ,2023-01-26
27,05604,17.38,0.15,K232P,329.06718,82.66076,311.89975,4.71508,0.4061047,1.10144229,0.928599,MPO727543,951,18,(5604) 1992 FE,2020-03-24
28,05693,16.78,0.15,K232P,150.23458,258.96892,96.98845,5.05875,0.5852164,0.68815372,1.2706104,E2023-C34,2320,27,(5693) 1993 EA,2023-02-03
29,06037,19.0,0.15,K232P,197.20719,242.18352,182.36253,3.5003,0.4996272,0.68769043,1.271181,MPO691607,564,17,(6037) 1988 EG,2021-06-09
30,06239,18.57,0.15,K232P,105.6431,239.70404,344.57059,3.9414,0.4125986,0.79804251,1.151115,MPO691611,1164,16,(6239) Minos,2021-01-10
31,06489,19.22,0.15,K232P,1.14016,68.67207,209.47384,2.2659,0.6123442,0.25156359,2.4852545,MPO691616,935,7,(6489) Golevka,2015-11-03
32,06491,18.74,0.15,K232P,353.53274,323.63983,301.89126,5.94545,0.5903401,0.24915637,2.5012363,MPO691616,186,9,(6491) 1991 OA,2019-10-08
33,07335,17.7,0.15,K232P,98.36375,232.30283,61.28009,15.17424,0.4846205,0.41791586,1.7717814,MPO727569,2420,16,(7335) 1989 JA,2022-12-26
34,07341,16.96,0.15,K232P,161.15932,173.49381,294.73674,5.40904,0.5059792,0.39451591,1.8411664,MPO719172,2269,19,(7341) 1991 VK,2022-06-07
35,07482,16.65,0.15,K232P,228.97651,47.49245,117.86486,33.46613,0.3293934,0.62923953,1.3487311,MPO710656,1389,17,(7482) 1994 PC1,2022-07-28
36,07753,18.02,0.15,K232P,123.098,280.07023,73.39311,3.12462,0.4816469,0.55467122,1.4670524,E2023-C29,1245,21,(7753) 1988 XB,2023-02-02
37,07822,17.3,0.15,K232P,45.24578,249.4351,156.84795,37.12298,0.164612,0.82850909,1.1227193,MPO719180,1827,8,(7822) 1991 CS,2022-07-08
38,08014,18.88,0.15,K232P,35.32727,114.75895,209.84389,1.86742,0.456184,0.42679686,1.7471167,MPO691641,1221,11,(8014) 1990 MF,2022-04-02
39,08566,16.32,0.15,K232P,130.21784,125.14211,164.11996,37.97785,0.4303135,0.53315992,1.5062523,MPO727586,1670,21,(8566) 1996 EN,2022-12-20
40,09856,17.05,0.15,K232P,138.3856,116.21338,168.1034,9.83014,0.6258706,0.29361334,2.2419135,MPO727605,811,15,(9856) 1991 EE,2023-01-22
41,10115,17.16,0.15,K232P,20.65989,233.6449,8.90158,15.32109,0.3247825,0.70659367,1.2484071,MPO691680,1492,17,(10115) 1992 SK,2021-04-13
42,11500,18.37,0.15,K232P,156.60142,289.51438,234.39706,10.30954,0.355909,0.8783916,1.0798015,MPO691707,1169,15,(11500) Tomaiyowit,2019-08-18
43,12538,15.88,0.15,K232P,8.06643,321.79496,220.69583,24.53847,0.4062682,0.51497141,1.5415134,MPO727642,2759,16,(12538) 1998 OH,2023-01-04
44,12923,15.82,0.15,K232P,196.50316,147.11109,168.18418,5.30525,0.4919827,0.35850724,1.9624748,E2023-BL1,2450,19,(12923) Zephyr,2023-01-29
45,13651,17.89,0.15,K232P,239.5307,133.80412,116.65269,17.24785,0.3057094,0.63860918,1.3355063,MPO727657,1003,14,(13651) 1997 BR,2023-01-23
46,14827,18.87,0.15,K232P,258.27825,238.1797,57.93562,1.97948,0.6654617,0.20556915,2.8433528,MPO691769,168,6,(14827) Hypnos,2019-04-03
47,16960,14.42,0.15,K232P,127.43273,243.24944,260.16509,17.51728,0.8589415,0.30195427,2.2004353,MPO719320,1983,24,(16960) 1998 QS52,2022-08-23
48,20425,20.51,0.15,K232P,90.52294,296.3152,227.26336,6.98829,0.4768516,0.50373514,1.5643523,MPO691875,50,4,(20425) 1998 VD35,2005-07-29
49,22753,17.69,0.15,K232P,85.89728,324.7704,307.39927,3.2038,0.5697647,0.73234589,1.2189668,MPO691919,1092,20,(22753) 1998 WT,2022-03-23
50,23187,16.06,0.15,K232P,291.92611,293.5214,164.30963,51.33115,0.5892692,0.39266681,1.846942,MPO710803,2053,19,(23187) 2000 PN9,2022-08-23
51,25143,19.26,0.15,K232P,114.48064,162.8071,69.07517,1.62126,0.2801042,0.64678631,1.3242262,MPO691964,1148,10,(25143) Itokawa,2022-03-25
52,26663,18.19,0.15,K232P,161.22896,231.16152,303.65296,13.53248,0.4720148,0.51270579,1.5460513,MPO719462,382,14,(26663) 2000 XK47,2022-07-17
53,27002,18.31,0.15,K232P,306.86434,0.80659,130.34645,8.69612,0.4331857,0.42786863,1.7441979,MPO719467,505,14,(27002) 1998 DV9,2022-09-25
54,29075,17.28,0.15,K232P,316.20733,224.65845,356.65242,12.17004,0.5082709,0.44537191,1.6981948,E2023-C50,956,17,(29075) 1950 DA,2023-02-07
55,31669,16.15,0.15,K232P,268.10403,39.09746,78.788,9.53744,0.5777462,0.31555356,2.1367514,MPO710878,732,13,(31669) 1999 JT6,2022-08-30
56,33342,18.02,0.15,K232P,136.97833,167.52629,81.66638,7.3676,0.4176018,1.61739255,0.7187741,MPO692119,1829,15,(33342) 1998 WT24,2022-02-20
57,35107,16.91,0.15,K232P,332.9802,206.96587,139.34652,13.91124,0.1442247,0.81263395,1.137294,MPO727939,3877,6,(35107) 1991 VH,2021-05-06
58,35396,17.04,0.15,K232P,290.64207,103.04837,213.65473,4.09945,0.4837018,0.5689705,1.4423684,E2023-BI1,1986,18,(35396) 1997 XF11,2023-01-28
59,37638,19.3,0.15,K232P,13.12888,323.15324,145.58689,5.07967,0.5196477,0.37244888,1.9131907,E2023-BK5,177,7,(37638) 1993 VB,2023-01-29
60,37655,17.85,0.15,K232P,285.84563,303.87533,139.5447,18.0282,0.7523566,0.54868377,1.4777058,MPO692200,622,15,(37655) Illapa,2021-08-02
61,38071,19.57,0.15,K232P,326.24913,8.81734,195.49485,12.74149,0.5076819,0.3263567,2.0893331,MPO727980,459,7,(38071) 1999 GU3,2023-01-25
62,39572,16.56,0.15,K232P,2.29812,344.85846,313.54613,10.02193,0.492021,0.33903277,2.0369245,MPO692236,773,18,(39572) 1993 DQ1,2022-03-01
63,41429,20.66,0.15,K232P,108.6479,297.22159,351.91607,2.17302,0.5553176,0.49038155,1.5926242,MPO728025,358,18,(41429) 2000 GE2,2022-11-26
64,52760,17.51,0.15,K232P,189.00189,20.31385,338.71506,2.42671,0.6235447,0.26356369,2.4092341,MPO692485,621,9,(52760) 1998 ML14,2022-03-07
65,52768,16.04,0.15,K232P,280.1589,174.58048,26.94154,5.8782,0.5754018,0.2683561,2.3804646,MPO728149,5398,20,(52768) 1998 OR2,2022-12-26
66,53319,15.36,0.15,K232P,97.08519,166.82643,133.61835,13.84145,0.6415801,0.21930772,2.723329,MPO728155,1312,15,(53319) 1999 JM8,2023-01-22
67,53426,17.27,0.15,K232P,306.29507,43.3464,239.07033,22.76779,0.5382455,0.36954513,1.9231998,MPO728157,754,11,(53426) 1999 SL5,2022-12-01
68,53429,18.94,0.15,K232P,75.89376,64.07493,199.20577,26.78696,0.6399117,0.3424891,2.0231972,MPO719850,143,4,(53429) 1999 TF5,2022-10-29
69,53550,19.16,0.15,K232P,103.80851,324.91967,313.20534,7.17495,0.4195586,0.53894343,1.495457,MPO728158,264,12,(53550) 2000 BF19,2022-11-23
70,53789,17.41,0.15,K232P,228.35914,218.33968,190.02316,40.7876,0.2692688,0.6142401,1.3705996,MPO728161,877,10,(53789) 2000 ED104,2021-10-15
71,65679,19.62,0.15,K232P,240.05089,15.01087,178.09955,1.3031,0.2645925,1.12655849,0.9147454,MPO692729,713,11,(65679) 1989 UQ,2017-11-23
72,65690,19.06,0.15,K232P,225.69479,63.31647,180.11884,11.14454,0.3632995,0.57781061,1.4276192,MPO728307,1137,15,(65690) 1991 DG,2022-12-20
73,65717,20.71,0.15,K232P,105.81441,290.96673,174.75694,2.80922,0.2809332,0.59794313,1.3953917,MPO711140,1240,7,(65717) 1993 BX3,2021-05-16
74,65803,18.12,0.15,K232P,59.09022,319.56159,72.99108,3.41411,0.3832817,0.46819673,1.6425445,E2023-C50,4517,15,(65803) Didymos,2023-01-31
75,65909,19.3,0.15,K232P,38.05742,284.48795,108.60352,3.56034,0.5397647,0.86484116,1.0910512,MPO728309,497,15,(65909) 1998 FH12,2022-04-29
76,66391,16.64,0.15,K232P,228.30312,192.64469,244.89873,38.87981,0.688374,1.91432364,0.6423807,MPO728315,4175,21,(66391) Moshup,2022-08-16
77,67367,17.13,0.15,K232P,213.85541,184.83267,264.51761,9.0234,0.212697,0.65852511,1.308442,MPO692761,482,13,(67367) 2000 LY27,2021-08-09
78,67381,19.81,0.15,K232P,8.37934,266.87131,294.8995,10.66865,0.5432272,0.64956762,1.3204434,MPO728327,209,7,(67381) 2000 OL8,2022-11-27
79,68216,16.63,0.15,K232P,271.8193,48.7277,18.13719,17.99462,0.3266429,0.65004593,1.3197956,MPO728336,2421,11,(68216) 2001 CV26,2022-05-26
80,68346,16.94,0.15,K232P,174.28615,140.28233,219.3708,16.69645,0.4166432,0.53247954,1.5075351,MPO728338,921,18,(68346) 2001 KZ66,2023-01-21
81,68347,19.92,0.15,K232P,85.45803,243.78835,245.86409,17.12454,0.3801122,1.04442807,0.9620929,MPO692779,595,9,(68347) 2001 KB67,2021-10-16
82,68372,18.97,0.15,K232P,230.6203,322.31626,252.96566,8.10542,0.4160481,0.47885489,1.6180804,MPO720056,350,12,(68372) 2001 PM9,2022-10-25
83,68548,16.71,0.15,K232P,281.32678,24.72964,302.04161,22.71402,0.4365253,0.44199524,1.7068328,MPO692783,675,12,(68548) 2001 XR31,2022-02-26
84,68950,16.39,0.15,K232P,230.40384,255.57376,236.21022,25.15138,0.3442779,0.90691289,1.0570422,MPO728345,2810,18,(68950) 2002 QF15,2021-10-15
85,69230,17.54,0.15,K232P,1.61795,92.91166,34.06214,6.06758,0.623678,0.46278239,1.6553309,E2023-C34,1420,14,(69230) Hermes,2023-02-03
86,85182,17.14,0.15,K232P,240.55966,243.08373,339.51269,3.12046,0.7773275,0.29773265,2.2211868,MPO693097,370,14,(85182) 1991 AQ,2021-09-16
87,85236,18.7,0.15,K232P,181.09587,293.82857,54.3644,12.8067,0.3110916,0.71917896,1.2337999,E2023-C34,756,14,(85236) 1993 KH,2023-02-03
88,85585,21.64,0.15,K232P,357.43047,95.41498,2.31347,4.08272,0.3561922,0.6667874,1.2976108,MPO693104,197,4,(85585) Mjolnir,2003-10-20
89,85640,21.14,0.15,K232P,77.63968,117.26047,299.59012,4.5148,0.4857531,0.49607387,1.5804174,MPO693105,261,11,(85640) 1998 OX4,2019-04-07
90,85713,15.86,0.15,K232P,17.85973,103.14608,40.9608,10.78482,0.6385553,0.36937727,1.9237823,MPO728510,1281,20,(85713) 1998 SS49,2022-11-29
91,85774,19.17,0.15,K232P,182.75589,50.15995,64.62672,13.58703,0.3289305,0.59315306,1.402894,MPO693108,735,8,(85774) 1998 UT18,2021-08-07
92,85938,18.72,0.15,K232P,167.58515,197.70403,19.88771,9.14433,0.483858,0.39047514,1.8538466,MPO720268,625,12,(85938) 1999 DJ4,2022-10-02
93,85989,17.12,0.15,K232P,345.81471,309.2327,130.16452,17.06384,0.6327972,1.18767734,0.8830875,MPO728513,2927,17,(85989) 1999 JD6,2022-06-25
94,85990,20.27,0.15,K232P,88.1699,235.56171,124.31187,5.35915,0.3112078,0.9733625,1.0083694,MPO728513,1123,24,(85990) 1999 JV6,2022-02-21
95,86039,15.96,0.15,K232P,324.09369,120.7643,311.64926,7.13197,0.5788156,0.42220145,1.7597713,MPO693113,1477,16,(86039) 1999 NC43,2021-06-09
96,86819,17.47,0.15,K232P,2.64125,150.33303,164.89102,10.06248,0.5057395,0.34955238,1.9958499,MPO693128,796,15,(86819) 2000 GK137,2022-03-05
97,87684,16.03,0.15,K232P,159.75855,47.78162,162.02753,19.2254,0.6428253,1.23871198,0.8586625,MPO693144,1387,19,(87684) 2000 SY2,2021-11-13
98,88254,17.77,0.15,K232P,66.62457,140.1973,272.13289,1.52228,0.6295462,0.76658717,1.1823926,MPO728542,783,17,(88254) 2001 FM129,2022-06-06
99,89136,20.28,0.15,K232P,318.09621,67.13172,175.91461,1.90592,0.2529511,0.62413382,1.3560767,MPO693171,1258,9,(89136) 2001 US16,2020-11-16
100,89830,14.99,0.15,K232P,55.87284,5.80048,19.8977,43.65644,0.5071892,0.32918027,2.0773684,E2023-C29,1531,15,(89830) 2002 CE,2023-02-02
101,89958,17.2,0.15,K232P,264.98532,222.9084,188.17628,9.90945,0.8864429,0.46862535,1.6415428,MPO728561,928,18,(89958) 2002 LY45,2022-05-25
102,89959,16.46,0.15,K232P,307.95114,300.68501,132.02016,42.35553,0.5283891,0.43117892,1.7352593,MPO728561,941,17,(89959) 2002 NT7,2022-08-30
103,90075,15.39,0.15,K232P,298.90904,30.66346,226.7422,8.91099,0.5757937,0.31613631,2.1341247,E2023-C29,3069,20,(90075) 2002 VU94,2023-02-01
104,90403,17.8,0.15,K232P,269.94302,306.79467,286.24169,19.00563,0.2801141,0.71870798,1.2343389,E2023-C34,1508,13,(90403) 2003 YE45,2023-02-03
105,90416,18.87,0.15,K232P,209.15777,233.20367,326.81065,7.82793,0.4921405,0.44647047,1.695408,MPO711290,871,14,(90416) 2003 YK118,2022-08-31
106,99248,16.48,0.15,K232P,127.91661,61.54483,284.13542,10.61119,0.5076131,0.38650298,1.8665265,E2023-BL1,1253,17,(99248) 2001 KY66,2023-01-29
107,99942,19.0,0.15,K232P,280.45871,126.60587,203.95751,3.33927,0.1914167,1.11199237,0.9227163,MPO711347,8139,13,(99942) Apophis,2021-05-20
108,A0085,17.9,0.15,K232P,21.21186,42.22066,305.19597,2.64167,0.6193745,0.2283898,2.6506451,MPO693378,627,8,(100085) 1992 UY4,2022-05-06
109,A1869,19.47,0.15,K232P,127.04072,268.80738,110.94099,4.7651,0.6109463,0.47611517,1.6242818,MPO693412,193,8,(101869) 1999 MM,2008-02-12
110,A1955,20.69,0.15,K232P,162.57657,66.3366,1.99729,6.03387,0.2037192,0.82489482,1.1259964,MPO693413,576,6,(101955) Bennu,2018-05-15
111,A3067,16.84,0.15,K232P,53.13315,103.99065,116.63007,38.54343,0.5814916,0.39376445,1.8435081,MPO728708,909,13,(103067) 1999 XA143,2021-11-01
112,B1253,15.26,0.15,K232P,167.59221,6.96129,310.15788,42.02402,0.4395152,0.42443857,1.7535823,E2023-C08,1197,13,(111253) 2001 XU10,2023-01-31
113,D6617,17.97,0.15,K232P,181.53793,24.89165,268.52274,4.68035,0.4169132,0.47028848,1.6376704,MPO729051,675,17,(136617) 1994 CC,2022-12-25
114,D6618,16.87,0.15,K232P,40.35615,248.27919,99.33712,1.43928,0.3950214,0.49961682,1.5729371,MPO720818,998,16,(136618) 1994 CN2,2022-05-27
115,D6795,18.11,0.15,K232P,84.87576,147.46059,50.14848,10.99111,0.4789196,0.42694956,1.7467001,MPO694071,395,13,(136795) Tatsunokingo,2021-11-30
116,D6849,17.72,0.15,K232P,239.95636,97.75852,110.70683,7.78931,0.5786635,0.54109617,1.4914879,MPO729053,643,16,(136849) 1998 CS1,2022-11-24
117,D7108,18.05,0.15,K232P,201.28491,268.32237,314.35701,39.92727,0.5621498,0.55953386,1.4585404,MPO729056,396,10,(137108) 1999 AN10,2022-01-13
118,D7120,18.3,0.15,K232P,47.15693,221.83082,339.59125,8.99132,0.5503274,0.37659555,1.8991208,MPO694077,449,12,(137120) 1999 BJ8,2021-11-01
119,D7126,18.13,0.15,K232P,30.66833,90.26478,157.06818,5.54751,0.6000122,0.41744045,1.7731264,MPO694077,670,16,(137126) 1999 CF9,2021-11-29
120,D7427,15.3,0.15,K232P,337.40382,162.38557,347.92044,39.48253,0.6114279,0.2585303,2.4404041,E2023-C29,635,12,(137427) 1999 TF211,2023-02-02
121,D8095,15.98,0.15,K232P,330.42937,2.55814,43.45683,60.69022,0.4145951,0.41625555,1.7764897,MPO720829,657,13,(138095) 2000 DK79,2022-05-27
122,D8127,17.11,0.15,K232P,57.95944,197.85175,155.75253,26.46053,0.533106,1.83064123,0.6618109,MPO729062,678,18,(138127) 2000 EE14,2022-06-09
123,D8175,20.48,0.15,K232P,184.72624,280.91091,25.52159,5.23755,0.2931022,0.9797976,1.0039494,MPO729063,1199,25,(138175) 2000 EE104,2022-12-26
124,D8404,19.36,0.15,K232P,13.13731,142.18491,309.36825,2.16409,0.318472,0.81114347,1.1386867,MPO694101,422,11,(138404) 2000 HA24,2022-02-05
125,D8524,16.88,0.15,K232P,44.64835,181.22451,226.58188,6.24539,0.5678688,0.27231563,2.3573333,E2023-C19,960,12,(138524) 2000 OJ8,2023-02-01
126,D8727,19.34,0.15,K232P,95.64933,136.28956,327.91445,11.91476,0.604791,0.32263209,2.1053825,MPO694107,169,8,(138727) 2000 SU180,2021-09-13
127,D8971,18.53,0.15,K232P,273.14113,271.93687,353.68254,7.91932,0.3333005,0.93795266,1.0335911,E2023-C46,1857,15,(138971) 2001 CB21,2023-02-06
128,D9211,17.74,0.15,K232P,233.35122,3.51994,173.54601,26.06043,0.4516873,0.38837553,1.860522,MPO720843,231,12,(139211) 2001 GN2,2022-09-18
129,D9359,16.53,0.15,K232P,0.49139,302.34468,84.60204,5.9552,0.8701917,0.23068256,2.6330526,MPO694119,681,9,(139359) 2001 ME1,2022-05-04
130,D9622,18.5,0.15,K232P,201.88793,337.91154,83.25044,9.31621,0.311145,0.5808222,1.4226801,MPO694124,509,9,(139622) 2001 QQ142,2021-07-09
131,E0039,18.12,0.15,K232P,342.32819,30.88295,197.19073,4.85672,0.5688916,0.40134052,1.8202347,E2023-C50,624,14,(140039) 2001 SO73,2023-02-07
132,E0158,18.5,0.15,K232P,76.2628,42.71246,126.79913,2.51752,0.4611204,0.63032981,1.3471754,MPO729080,807,14,(140158) 2001 SX169,2021-07-30
133,E0288,16.74,0.15,K232P,96.34273,225.60831,357.09405,53.22069,0.5077391,0.41344664,1.7845268,MPO694136,389,14,(140288) 2001 SN289,2022-04-29
134,E1053,18.86,0.15,K232P,115.01755,31.37016,316.23343,2.73098,0.5795983,0.52162347,1.5283798,MPO729090,445,16,(141053) 2001 XT1,2023-01-22
135,E1432,20.06,0.15,K232P,348.60981,272.6472,81.33905,2.46719,0.4276215,1.02181047,0.9762382,MPO694158,456,11,(141432) 2002 CQ11,2012-05-10
136,E1495,18.49,0.15,K232P,51.87221,317.76792,51.8839,2.3548,0.802207,0.83817082,1.1140748,MPO694159,810,16,(141495) 2002 EZ11,2022-04-29
137,E1525,18.08,0.15,K232P,89.29519,308.11198,38.84027,34.03781,0.7246379,0.8697057,1.086979,E2023-BF5,685,14,(141525) 2002 FV5,2023-01-27
138,E1527,18.94,0.15,K232P,124.95162,247.6723,187.48885,9.20352,0.6266718,0.52929409,1.5135776,MPO694160,741,13,(141527) 2002 FG7,2021-07-07
139,E1593,18.26,0.15,K232P,92.29873,2.27085,306.9884,2.34923,0.5289553,0.348156,2.001183,MPO729097,1102,12,(141593) 2002 HK12,2022-12-24
140,E1614,19.52,0.15,K232P,343.172,127.4145,200.61742,7.18645,0.5362536,0.47634851,1.6237513,MPO694161,285,8,(141614) 2002 JV15,2010-05-28
141,E1851,17.8,0.15,K232P,280.02953,224.51457,304.02596,19.14049,0.8501984,0.75157207,1.1980887,MPO720871,625,19,(141851) 2002 PM6,2022-10-23
142,E3404,16.95,0.15,K232P,28.19612,89.3238,181.23971,2.66322,0.6061408,0.3567001,1.9690976,MPO694195,1355,17,(143404) 2003 BD44,2022-01-29
143,E3487,18.94,0.15,K232P,138.84052,88.81144,177.08573,4.98981,0.7296709,0.31833846,2.1242713,MPO694197,281,7,(143487) 2003 CR20,2012-11-02
144,E3624,15.96,0.15,K232P,48.47774,47.03387,195.93866,35.59332,0.5760652,0.35719271,1.9672867,MPO694199,930,14,(143624) 2003 HM16,2022-02-11
145,E3649,17.39,0.15,K232P,11.0932,104.96829,0.98914,62.10273,0.1869451,0.87167711,1.0853395,MPO720887,1064,8,(143649) 2003 QQ47,2022-10-29
146,E3651,16.1,0.15,K232P,145.78238,183.57204,58.16598,11.61552,0.5249207,0.31594024,2.1350076,MPO729112,1140,16,(143651) 2003 QO104,2022-12-01
147,E3992,16.17,0.15,K232P,351.64984,57.95431,315.63649,27.13628,0.5540985,0.356243,1.9707815,MPO694206,840,12,(143992) 2004 AF,2021-04-01
148,E4332,16.66,0.15,K232P,218.02478,186.4058,171.13581,55.89519,0.289779,0.58062249,1.4230063,E2023-C40,1129,10,(144332) 2004 DV24,2023-02-04
149,E4898,18.87,0.15,K232P,346.80612,90.99968,223.97811,4.22426,0.5886538,0.53229745,1.5078789,MPO729122,1304,13,(144898) 2004 VD17,2022-02-04
150,E4900,18.29,0.15,K232P,129.0575,43.91913,208.85809,36.25663,0.6555642,1.03434537,0.9683351,MPO729122,344,12,(144900) 2004 VG64,2023-01-09
151,F2560,19.23,0.15,K232P,275.46699,80.98896,268.81309,3.44496,0.3980615,0.56830293,1.4434978,MPO694368,461,13,(152560) 1991 BN,2022-02-21
152,F2561,19.1,0.15,K232P,302.6929,68.9377,359.30121,19.57763,0.485692,0.56190706,1.4544308,MPO694368,114,7,(152561) 1991 RB,2020-04-27
153,F2637,17.87,0.15,K232P,100.57127,16.59574,96.46513,16.72193,0.2084531,1.22549384,0.8648258,MPO720974,306,11,(152637) 1997 NC1,2022-09-21
154,F2664,19.68,0.15,K232P,116.71889,85.39037,353.66546,3.42245,0.7139373,0.2455284,2.5258151,MPO694370,563,12,(152664) 1998 FW4,2022-02-04
155,F2671,20.24,0.15,K232P,153.312,188.14674,163.64072,2.68001,0.3660358,0.82161722,1.128989,MPO720975,459,11,(152671) 1998 HL3,2022-06-03
156,F2680,19.59,0.15,K232P,37.19821,260.09226,98.56029,10.93044,0.6398226,0.56586861,1.4476347,E2023-C29,215,7,(152680) 1998 KJ9,2023-02-02
157,F2685,19.34,0.15,K232P,330.42975,39.35904,122.19973,0.14765,0.5730957,0.63073401,1.3465998,MPO720975,405,12,(152685) 1998 MZ,2022-09-26
158,F2754,19.3,0.15,K232P,188.51769,134.94815,314.43564,2.02031,0.4973532,0.75812293,1.191177,MPO694372,398,11,(152754) 1999 GS6,2020-07-21
159,F2770,18.39,0.15,K232P,2.28736,284.54909,178.18498,7.14106,0.6539186,0.38281868,1.8784831,MPO720975,533,12,(152770) 1999 RR28,2022-10-17
160,F2828,21.28,0.15,K232P,141.71018,319.21984,221.9496,5.1507,0.523282,0.78666859,1.1621839,MPO694373,129,9,(152828) 1999 VT25,2020-09-15
161,F2978,19.57,0.15,K232P,22.05243,240.81059,57.85159,25.0068,0.2366474,0.78661236,1.1622393,MPO729202,640,10,(152978) 2000 GJ147,2021-01-16
162,F3002,18.28,0.15,K232P,286.55769,233.44195,213.05067,31.42825,0.7959342,0.63497131,1.3406024,MPO694376,396,13,(153002) 2000 JG5,2021-09-09
163,F3201,19.34,0.15,K232P,259.5502,213.72317,69.22252,7.76937,0.7806697,1.1331878,0.9111743,MPO729204,974,18,(153201) 2000 WO107,2023-01-15
