,Designation,Abs Mag,Slope Param,Epoch,Mean anom (deg),Argument of Perihelion (deg),Longitude of Ascending Node (deg),Inclination to Ecliptic (deg),Eccentricity,Mean daily motion (deg/day),Semimajor Axis (AU),Reference,N observation,N oppositions,Readable Designation,Date of last observation
1970,e5762,20.28,0.15,K232P,213.44072,87.7419,7.72595,5.77223,0.4479767,0.54701159,1.4807158,MPO699145,66,10,(405762) 2005 YO180,2022-04-29
1971,e6213,20.33,0.15,K232P,43.42518,280.89499,126.84786,1.45706,0.545693,0.37076944,1.9189637,E2023-C08,677,7,(406213) 2007 AB2,2023-01-30
1972,e8792,20.53,0.15,K232P,223.01521,108.08071,176.0265,9.63157,0.3774559,0.63489081,1.3407157,MPO699203,354,7,(408792) 2000 GF2,2020-02-21
1973,e9836,18.06,0.15,K232P,40.40061,221.61955,222.61256,6.40402,0.5738425,0.36919642,1.9244106,MPO731133,217,11,(409836) 2006 QY110,2022-11-24
1974,f0627,20.89,0.15,K232P,267.37146,257.37654,347.82428,13.09244,0.4429017,0.6529412,1.3158913,MPO699237,160,6,(410627) 2008 RG1,2020-10-10
1975,f0778,18.12,0.15,K232P,258.4015,120.4174,187.51252,54.5108,0.7193185,0.19837886,2.9116497,MPO731140,244,6,(410778) 2009 FG19,2019-09-30
1976,f1165,21.91,0.15,K232P,113.1773,101.80369,154.86197,20.08396,0.502822,0.48768188,1.5984963,MPO712879,129,6,(411165) 2010 DF1,2022-08-27
1977,f2983,20.16,0.15,K232P,223.18459,162.80062,333.55914,5.81539,0.2900287,0.569176,1.4420213,MPO722667,334,8,(412983) 1996 FO3,2022-05-24
1978,f3260,19.56,0.15,K232P,330.48501,321.97721,220.00762,12.18859,0.3814387,1.43979638,0.7767275,MPO731153,431,10,(413260) 2003 TL4,2022-12-25
1979,f3577,20.34,0.15,K232P,304.78307,127.78822,58.87059,14.31996,0.5698766,1.0879024,0.9362879,MPO722670,354,9,(413577) 2005 UL5,2022-09-21
1980,f3989,19.07,0.15,K232P,96.51408,116.16343,198.44622,30.84424,0.5218485,0.8320092,1.1195684,MPO731157,239,7,(413989) 2007 EL88,2023-01-12
1981,f4286,18.59,0.15,K232P,64.9393,295.82931,177.58366,21.8448,0.1991857,1.1113095,0.9230942,MPO722674,492,5,(414286) 2008 OC6,2022-09-22
1982,f4287,17.73,0.15,K232P,159.69027,238.51626,202.72393,13.50408,0.7592119,0.17185562,3.2040078,MPO699306,315,5,(414287) 2008 OB9,2021-05-13
1983,f4990,21.9,0.15,K232P,256.13186,142.23705,134.16493,1.86446,0.3350164,0.64904099,1.3211576,MPO699320,268,7,(414990) 2011 EM51,2020-10-11
1984,f5029,15.88,0.15,K232P,218.95645,284.89437,275.38535,34.85388,0.6532847,0.31879888,2.1222255,MPO699320,1153,9,(415029) 2011 UL21,2021-09-05
1985,f5713,19.95,0.15,K232P,206.49833,153.10688,74.38546,6.9719,0.367629,1.54486833,0.741097,MPO699333,196,7,(415713) 1998 XX2,2021-11-26
1986,f5745,19.32,0.15,K232P,298.12428,216.07679,68.66821,10.56293,0.4563065,0.4270214,1.7465042,MPO699334,143,6,(415745) 2000 GV147,2021-11-28
1987,f6195,19.45,0.15,K232P,2.33367,104.77968,24.21583,26.91923,0.1598907,0.88206033,1.0768053,MPO699342,223,4,(416195) 2002 TR190,2021-10-30
1988,f6591,18.6,0.15,K232P,101.73754,290.68743,84.27784,10.9817,0.7348547,0.38693048,1.8651514,MPO699350,333,6,(416591) 2004 LC2,2020-03-24
1989,f6801,19.64,0.15,K232P,179.62639,258.30896,67.93141,16.53722,0.49747,0.7559226,1.1934874,MPO699354,329,10,(416801) 2005 GC120,2022-05-03
1990,f7211,18.25,0.15,K232P,162.79321,143.67305,53.32631,10.89799,0.4871547,0.43404229,1.7276192,MPO722688,332,11,(417211) 2005 XL80,2022-10-16
1991,f7217,19.59,0.15,K232P,65.01161,327.90192,288.61029,19.59211,0.550313,1.64379052,0.7110581,MPO722688,277,7,(417217) 2005 YS,2022-10-30
1992,f7419,20.91,0.15,K232P,191.54309,214.22135,117.20271,9.35485,0.1273348,0.75065983,1.1990591,MPO699365,197,4,(417419) 2006 KL21,2019-02-08
1993,f7612,18.44,0.15,K232P,182.81198,136.59852,111.97851,8.07274,0.3937486,0.48657657,1.6009162,MPO731175,161,10,(417612) 2006 WQ29,2022-11-25
1994,f7634,18.57,0.15,K232P,78.91963,344.11221,38.45975,20.50175,0.5960372,0.25582476,2.45758,MPO699369,163,3,(417634) 2006 XG1,2015-01-14
1995,f7816,20.27,0.15,K232P,69.08715,135.44751,156.41034,16.32939,0.2656543,0.70518854,1.2500649,MPO699373,191,5,(417816) 2007 FA,2022-01-07
1996,f7871,18.32,0.15,K232P,58.73431,269.14134,271.12546,47.70645,0.7001109,0.38359377,1.8759518,MPO699374,306,5,(417871) 2007 MB24,2020-05-01
1997,f7949,18.74,0.15,K232P,115.97336,173.82808,40.10021,38.29139,0.1976708,0.69518889,1.2620237,MPO699375,279,5,(417949) 2007 TB23,2021-04-17
1998,f8094,19.67,0.15,K232P,84.13628,297.63583,249.87562,38.33387,0.4410946,0.54394117,1.4862827,MPO699378,338,8,(418094) 2007 WV4,2018-11-25
1999,f8135,19.37,0.15,K232P,181.02649,155.49812,38.29601,16.00903,0.3366216,0.55928442,1.4589741,MPO722693,126,8,(418135) 2008 AG33,2022-07-05
2000,f8416,20.31,0.15,K232P,289.46506,121.97641,236.47853,4.7147,0.6255712,0.32635858,2.0893251,MPO699384,343,8,(418416) 2008 LV16,2021-01-10
2001,f8849,20.47,0.15,K232P,139.7849,256.76197,91.43652,33.52266,0.1063979,0.97707431,1.0058139,MPO731181,299,7,(418849) 2008 WM64,2022-01-21
2002,f9472,19.99,0.15,K232P,210.29593,9.64878,157.12406,23.7674,0.2001868,0.72685291,1.2251004,MPO699404,292,5,(419472) 2010 DW1,2021-09-15
2003,f9624,20.44,0.15,K232P,334.52062,109.20696,40.35321,14.51548,0.0754044,0.98014045,1.0037152,MPO731184,219,1,(419624) 2010 SO16,2022-11-14
2004,f9880,19.82,0.15,K232P,11.25753,322.34131,102.06951,9.65607,0.6720479,0.2424266,2.5473143,MPO731186,173,6,(419880) 2011 AH37,2022-07-29
2005,g0210,20.45,0.15,K232P,280.47427,149.67328,204.88468,10.62338,0.2346736,0.67784553,1.2834597,MPO699418,199,4,(420210) 2011 HF,2021-03-07
2006,g2686,21.63,0.15,K232P,305.25844,188.07675,101.36825,4.69948,0.2863785,1.24961998,0.8536583,MPO699465,302,5,(422686) 2000 AC6,2022-01-08
2007,g2699,18.28,0.15,K232P,321.95386,110.18515,298.66215,7.70022,0.5921229,0.34899684,1.9979673,MPO699465,500,7,(422699) 2000 PD3,2021-04-13
2008,g2787,17.04,0.15,K232P,33.23893,5.20556,1.2841,13.24752,0.6187671,0.23640137,2.5904153,E2023-C08,1265,9,(422787) 2001 WS1,2023-01-25
2009,g3321,20.9,0.15,K232P,20.90859,164.1825,82.05984,2.38921,0.4492779,0.39157664,1.8503684,MPO722716,602,5,(423321) 2005 ED318,2020-01-26
2010,g3709,19.75,0.15,K232P,125.40095,304.78264,307.63888,12.99614,0.4047442,0.55189169,1.471974,MPO722720,578,7,(423709) 2006 BQ6,2022-10-29
2011,g4482,19.68,0.15,K232P,106.49325,59.71809,244.01575,5.70696,0.2425636,0.70065979,1.2554457,MPO699499,267,6,(424482) 2008 DG5,2022-03-02
2012,g5755,21.18,0.15,K232P,186.96904,159.92653,147.98589,9.46441,0.8702529,1.13231829,0.9116407,MPO699523,124,7,(425755) 2011 CP4,2018-02-04
2013,g8209,20.12,0.15,K232P,348.78088,19.20682,87.5298,12.25106,0.4917939,0.36419777,1.941979,MPO699569,189,3,(428209) 2006 VC,2015-04-17
2014,g9094,20.06,0.15,K232P,189.51332,252.97438,9.07741,25.97903,0.1701744,0.83047538,1.1209465,MPO722748,181,4,(429094) 2009 SG2,2022-10-28
2015,g9584,19.78,0.15,K232P,26.20676,251.1924,177.15352,2.57512,0.6998274,0.24898991,2.502351,MPO722751,416,7,(429584) 2011 EU29,2022-09-28
2016,h0440,17.64,0.15,K232P,0.18345,355.44308,283.76892,18.67222,0.591359,0.26152232,2.421755,MPO699611,351,6,(430440) 2000 OH,2019-12-31
2017,h0544,18.76,0.15,K232P,174.5872,84.6863,339.01354,3.34685,0.8065996,0.30179864,2.2011917,MPO699613,136,3,(430544) 2002 GM2,2015-04-25
2018,h0804,17.94,0.15,K232P,258.46168,263.62567,102.75247,12.37616,0.755002,0.36207068,1.9495774,MPO699618,535,7,(430804) 2005 AD13,2020-04-21
2019,h3953,20.96,0.15,K232P,281.8406,84.64454,250.66306,7.19218,0.2007991,0.88286029,1.0761548,MPO699677,406,6,(433953) 1997 XR2,2017-02-16
2020,h4096,18.16,0.15,K232P,18.25253,65.32912,22.62484,13.76924,0.7676523,0.37756077,1.8958827,MPO712978,239,5,(434096) 2002 GO5,2022-08-19
2021,h4188,19.15,0.15,K232P,232.07557,241.65415,101.49395,23.33771,0.7628283,0.46695843,1.645447,MPO699682,139,9,(434188) 2003 AD23,2022-02-26
2022,h4196,21.61,0.15,K232P,165.38507,225.39455,214.24254,19.77899,0.1346141,0.90021198,1.0622813,MPO699682,176,2,(434196) 2003 HG2,2015-05-18
2023,h4326,18.48,0.15,K232P,248.94904,353.0032,37.01429,18.94439,0.5311516,1.94661316,0.6352572,MPO699684,142,11,(434326) 2004 JG6,2021-05-29
2024,h4633,20.67,0.15,K232P,107.94073,265.73696,61.4129,22.8824,0.3553893,0.69362888,1.2639152,MPO731275,204,6,(434633) 2005 WB1,2022-12-24
2025,h4677,17.46,0.15,K232P,135.96123,188.78569,262.94913,68.41563,0.366478,0.54185859,1.4900885,MPO699691,188,5,(434677) 2006 BZ7,2021-08-05
2026,h4734,20.02,0.15,K232P,119.60972,299.50677,181.15829,24.6409,0.4380459,0.53927671,1.4948408,MPO699692,192,8,(434734) 2006 FX,2017-05-26
2027,h5159,17.15,0.15,K232P,259.63707,207.66346,110.85269,17.06137,0.6299948,0.23445733,2.6047148,MPO699700,183,5,(435159) 2007 LQ19,2019-04-07
2028,h5548,18.87,0.15,K232P,348.98456,160.93228,271.91388,7.24872,0.5283854,0.34537042,2.0119289,MPO699707,592,3,(435548) 2008 QT3,2015-05-11
2029,h6329,20.09,0.15,K232P,200.31695,317.12927,206.93594,21.83929,0.7002901,0.19296963,2.9658106,MPO699722,169,3,(436329) 2010 GX62,2015-06-22
2030,h6671,18.0,0.15,K232P,284.16434,190.50173,80.60437,13.41651,0.6103191,0.23149684,2.6268746,MPO699729,195,5,(436671) 2011 SV71,2019-03-05
2031,h6724,19.98,0.15,K232P,247.51238,8.79556,285.97658,4.571,0.3762201,0.47768683,1.6207171,MPO699730,933,6,(436724) 2011 UW158,2021-02-17
