Frequency (GHz)      Flux (Jy)
     42.3048852     -0.0113293
     42.3051352      0.0218813
     42.3053852     -0.0165666
     42.3056352      0.0231438
     42.3058852      0.0190745
     42.3061352     -0.0241885
     42.3063852     -0.0313974
     42.3066352      0.0136978
     42.3068852     -0.0209935
     42.3071352     -0.0145227
     42.3073852      0.0555191
     42.3076352     -0.0115709
     42.3078852     -0.0256394
     42.3081352     -0.0247385
     42.3083852      0.0155706
     42.3086352      0.0064126
     42.3088852     -0.0041422
     42.3091352      0.0077273
     42.3093852     -0.0165031
     42.3096352      0.0086406
     42.3098852     -0.0073537
     42.3101352     -0.0006928
     42.3103852     -0.0218340
     42.3106352     -0.0219221
     42.3108852     -0.0063106
     42.3111352      0.0229215
     42.3113852      0.0103670
     42.3116352     -0.0036125
     42.3118852      0.0557367
     42.3121352     -0.0112562
     42.3123852      0.0044104
     42.3126352      0.0077120
     42.3128852      0.0137596
     42.3131352      0.0765066
     42.3133852     -0.0165900
     42.3136352     -0.0436674
     42.3138852     -0.0256289
     42.3141352     -0.0189967
     42.3143852     -0.0203784
     42.3146352     -0.0084942
     42.3148852     -0.0137761
     42.3151352      0.0175244
     42.3153852     -0.0117918
     42.3156352      0.0056666
     42.3158852      0.0114057
     42.3161352     -0.0048785
     42.3163852      0.0024087
     42.3166352     -0.0145137
     42.3168852     -0.0302041
     42.3171352      0.0246575
     42.3173852      0.0047555
     42.3176352      0.0020651
     42.3178852     -0.0128724
     42.3181352     -0.0194145
     42.3183852      0.0209400
     42.3186352     -0.0127858
     42.3188852     -0.0113457
     42.3191352     -0.0076662
     42.3193852      0.0082848
     42.3196352      0.0134950
     42.3198852     -0.0438517
     42.3201352     -0.0496483
     42.3203852      0.0017681
     42.3206352      0.0014377
     42.3208852      0.0291964
     42.3211352     -0.0344211
     42.3213852      0.0171181
     42.3216352     -0.0097172
     42.3218852      0.0338343
     42.3221352     -0.0385812
     42.3223852     -0.0142516
     42.3226352     -0.0197599
     42.3228852      0.0459178
     42.3231352     -0.0347572
     42.3233852     -0.0137898
     42.3236352     -0.0194023
     42.3238852     -0.0139017
     42.3241352     -0.0473963
     42.3243852      0.0119715
     42.3246352     -0.0046378
     42.3248852      0.0341183
     42.3251352      0.0384944
     42.3253852      0.0242528
     42.3256352     -0.0239570
     42.3258852     -0.0270773
     42.3261352     -0.0371995
     42.3263852     -0.0342293
     42.3266352      0.0309982
     42.3268852     -0.0034890
     42.3271352     -0.0261926
     42.3273852      0.0405333
     42.3276352      0.0253572
     42.3278852      0.0380874
     42.3281352     -0.0075011
     42.3283852     -0.0054500
     42.3286352      0.0262245
     42.3288852      0.0129351
     42.3291352      0.0019895
     42.3293852      0.0166017
     42.3296352     -0.0427766
     42.3298852     -0.0185264
     42.3301352      0.0359330
     42.3303852     -0.0248710
     42.3306352      0.0174600
     42.3308852     -0.0187449
     42.3311352     -0.0059695
     42.3313852     -0.0442483
     42.3316352     -0.0118720
     42.3318852     -0.0133707
     42.3321352     -0.0181858
     42.3323852      0.0208952
     42.3326352     -0.0207783
     42.3328852      0.0212583
     42.3331352      0.0431288
     42.3333852     -0.0236099
     42.3336352     -0.0195321
     42.3338852      0.0001065
     42.3341352     -0.0129439
     42.3343852     -0.0006528
     42.3346352     -0.0122398
     42.3348852     -0.0076536
     42.3351352     -0.0038469
     42.3353852      0.0446661
     42.3356352      0.0003722
     42.3358852      0.0279601
     42.3361352     -0.0096651
     42.3363852     -0.0416617
     42.3366352     -0.0150932
     42.3368852     -0.0232388
     42.3371352      0.0115307
     42.3373852     -0.0101161
     42.3376352      0.0158615
     42.3378852      0.0283454
     42.3381352      0.0058979
     42.3383852      0.0054114
     42.3386352      0.0031080
     42.3388852      0.0136623
     42.3391352     -0.0029434
     42.3393852     -0.0185702
     42.3396352      0.0049423
     42.3398852     -0.0194026
     42.3401352     -0.0031244
     42.3403852      0.0341395
     42.3406352     -0.0088199
     42.3408852     -0.0121466
     42.3411352      0.0304564
     42.3413852      0.0157698
     42.3416352      0.0433007
     42.3418852      0.0368712
     42.3421352      0.0098827
     42.3423852     -0.0119435
     42.3426352     -0.0094886
     42.3428852      0.0003379
     42.3431352      0.0154619
     42.3433852      0.0169463
     42.3436352      0.0362054
     42.3438852      0.0014933
     42.3441352      0.0020876
     42.3443852      0.0153321
     42.3446352      0.0586527
     42.3448852     -0.0023997
     42.3451352      0.0105155
     42.3453852     -0.0419154
     42.3456352     -0.0397764
     42.3458852      0.0035080
     42.3461352     -0.0052239
     42.3463852     -0.0038120
     42.3466352     -0.0077309
     42.3468852      0.0271357
     42.3471352     -0.0004083
     42.3473852      0.0286742
     42.3476352      0.0046646
     42.3478852      0.0188034
     42.3481352     -0.0695473
     42.3483852      0.0185891
     42.3486352      0.0162341
     42.3488852     -0.0247037
     42.3491352     -0.0167111
     42.3493852      0.0063765
     42.3496352      0.0449593
     42.3498852     -0.0009655
     42.3501352      0.0270458
     42.3503852      0.0386626
     42.3506352     -0.0166949
     42.3508852      0.0135865
     42.3511352      0.0095199
     42.3513852     -0.0079621
     42.3516352      0.0260763
     42.3518852     -0.0147153
     42.3521352      0.0092419
     42.3523852     -0.0088401
     42.3526352      0.0101799
     42.3528852      0.0059452
     42.3531352     -0.0078224
     42.3533852     -0.0108090
     42.3536352      0.0250147
     42.3538852      0.0016614
     42.3541352      0.0280383
     42.3543852      0.0280414
     42.3546352     -0.0159080
     42.3548852     -0.0179621
     42.3551352      0.0038160
     42.3553852     -0.0265627
     42.3556352     -0.0049454
     42.3558852      0.0279884
     42.3561352      0.0257971
     42.3563852      0.0241171
     42.3566352     -0.0218958
     42.3568852      0.0010366
     42.3571352      0.0733154
     42.3573852      0.0218610
     42.3576352     -0.0214098
     42.3578852      0.0333666
     42.3581352      0.0306031
     42.3583852      0.0023290
     42.3586352      0.0102458
     42.3588852      0.0385876
     42.3591352     -0.0170392
     42.3593852      0.0179056
     42.3596352      0.0219723
     42.3598852     -0.0359475
     42.3601352     -0.0099188
     42.3603852     -0.0148925
     42.3606352      0.0230149
     42.3608852      0.0296977
     42.3611352      0.0395906
     42.3613852      0.0246197
     42.3616352     -0.0299123
     42.3618852     -0.0182931
     42.3621352      0.0274097
     42.3623852     -0.0217820
     42.3626352      0.0341501
     42.3628852     -0.0020413
     42.3631352     -0.0223671
     42.3633852      0.0093340
     42.3636352     -0.0094106
     42.3638852     -0.0239454
     42.3641352     -0.0036517
     42.3643852      0.0233011
     42.3646352      0.0153591
     42.3648852      0.0092368
     42.3651352     -0.0267914
     42.3653852      0.0135846
     42.3656352      0.0175730
     42.3658852     -0.0070161
     42.3661352     -0.0107912
     42.3663852      0.0092678
     42.3666352      0.0187654
     42.3668852      0.0112411
     42.3671352      0.0145155
     42.3673852      0.0051173
     42.3676352      0.0112437
     42.3678852     -0.0519657
     42.3681352      0.0065112
     42.3683852     -0.0177195
     42.3686352      0.0154280
     42.3688852     -0.0129056
     42.3691352     -0.0000909
     42.3693852     -0.0191137
     42.3696352     -0.0021691
     42.3698852     -0.0130906
     42.3701352      0.0075743
     42.3703852      0.0110774
     42.3706352      0.0068752
     42.3708852      0.0185414
     42.3711352     -0.0576661
     42.3713852     -0.0284281
     42.3716352      0.0048836
     42.3718852     -0.0190767
     42.3721352     -0.0078677
     42.3723852     -0.0052791
     42.3726352      0.0064178
     42.3728852     -0.0086800
     42.3731352     -0.0267920
     42.3733852     -0.0193441
     42.3736352     -0.0291591
