Frequency (GHz)      Flux (Jy)
     42.3048852      0.0098208
     42.3051352     -0.0065164
     42.3053852      0.0059874
     42.3056352     -0.0119018
     42.3058852     -0.0081124
     42.3061352     -0.0042826
     42.3063852     -0.0077103
     42.3066352      0.0320138
     42.3068852      0.0019763
     42.3071352      0.0378531
     42.3073852     -0.0001106
     42.3076352     -0.0291650
     42.3078852     -0.0036014
     42.3081352      0.0073528
     42.3083852     -0.0028114
     42.3086352     -0.0084202
     42.3088852      0.0035101
     42.3091352      0.0057297
     42.3093852     -0.0158485
     42.3096352     -0.0129745
     42.3098852      0.0113191
     42.3101352     -0.0030128
     42.3103852     -0.0061369
     42.3106352     -0.0076063
     42.3108852     -0.0202678
     42.3111352      0.0113570
     42.3113852      0.0235696
     42.3116352      0.0072822
     42.3118852      0.0079898
     42.3121352     -0.0019069
     42.3123852     -0.0032244
     42.3126352     -0.0137544
     42.3128852      0.0099025
     42.3131352     -0.0023857
     42.3133852     -0.0036845
     42.3136352     -0.0017040
     42.3138852      0.0065410
     42.3141352      0.0000078
     42.3143852      0.0080703
     42.3146352     -0.0017783
     42.3148852      0.0062382
     42.3151352     -0.0004919
     42.3153852      0.0067233
     42.3156352     -0.0169936
     42.3158852     -0.0048386
     42.3161352      0.0078464
     42.3163852     -0.0021526
     42.3166352      0.0071789
     42.3168852      0.0030496
     42.3171352      0.0108060
     42.3173852      0.0104281
     42.3176352      0.0156301
     42.3178852     -0.0114741
     42.3181352     -0.0033676
     42.3183852      0.0042269
     42.3186352     -0.0093271
     42.3188852     -0.0083460
     42.3191352      0.0097189
     42.3193852      0.0099486
     42.3196352     -0.0109708
     42.3198852      0.0008131
     42.3201352     -0.0040268
     42.3203852      0.0156980
     42.3206352     -0.0027972
     42.3208852     -0.0060693
     42.3211352      0.0065223
     42.3213852     -0.0044935
     42.3216352      0.0147706
     42.3218852     -0.0070072
     42.3221352     -0.0077030
     42.3223852     -0.0031104
     42.3226352      0.0005231
     42.3228852     -0.0136745
     42.3231352     -0.0071511
     42.3233852     -0.0147573
     42.3236352     -0.0158547
     42.3238852      0.0193979
     42.3241352     -0.0067069
     42.3243852     -0.0047233
     42.3246352     -0.0059272
     42.3248852     -0.0050740
     42.3251352      0.0148026
     42.3253852      0.0055621
     42.3256352      0.0042530
     42.3258852     -0.0193512
     42.3261352      0.0003354
     42.3263852      0.0036808
     42.3266352     -0.0114225
     42.3268852     -0.0229578
     42.3271352      0.0050502
     42.3273852     -0.0023374
     42.3276352      0.0103777
     42.3278852      0.0041771
     42.3281352     -0.0101972
     42.3283852     -0.0195805
     42.3286352      0.0075342
     42.3288852      0.0065257
     42.3291352     -0.0284354
     42.3293852      0.0028331
     42.3296352      0.0020357
     42.3298852      0.0002987
     42.3301352      0.0082005
     42.3303852      0.0182623
     42.3306352     -0.0063068
     42.3308852     -0.0027095
     42.3311352     -0.0261591
     42.3313852      0.0127249
     42.3316352     -0.0123491
     42.3318852      0.0249521
     42.3321352      0.0056843
     42.3323852      0.0086497
     42.3326352      0.0001122
     42.3328852     -0.0107270
     42.3331352     -0.0043348
     42.3333852     -0.0043743
     42.3336352      0.0031534
     42.3338852      0.0108145
     42.3341352      0.0119510
     42.3343852     -0.0144371
     42.3346352      0.0035070
     42.3348852     -0.0032707
     42.3351352     -0.0058925
     42.3353852     -0.0179176
     42.3356352     -0.0064919
     42.3358852     -0.0032397
     42.3361352      0.0121698
     42.3363852     -0.0198355
     42.3366352     -0.0145586
     42.3368852     -0.0185298
     42.3371352     -0.0206356
     42.3373852      0.0007368
     42.3376352     -0.0024842
     42.3378852     -0.0065452
     42.3381352     -0.0065607
     42.3383852      0.0018074
     42.3386352     -0.0064816
     42.3388852     -0.0143464
     42.3391352      0.0047923
     42.3393852      0.0045775
     42.3396352      0.0083893
     42.3398852     -0.0052502
     42.3401352      0.0015292
     42.3403852      0.0142214
     42.3406352      0.0208435
     42.3408852      0.0008564
     42.3411352     -0.0227590
     42.3413852      0.0102686
     42.3416352     -0.0176804
     42.3418852      0.0020076
     42.3421352      0.0164799
     42.3423852      0.0058686
     42.3426352      0.0173518
     42.3428852     -0.0046887
     42.3431352      0.0051204
     42.3433852     -0.0130522
     42.3436352      0.0072263
     42.3438852      0.0152017
     42.3441352      0.0039566
     42.3443852      0.0023064
     42.3446352     -0.0088857
     42.3448852     -0.0019165
     42.3451352     -0.0185038
     42.3453852      0.0045291
     42.3456352      0.0284063
     42.3458852     -0.0085708
     42.3461352      0.0049057
     42.3463852     -0.0002654
     42.3466352     -0.0136446
     42.3468852      0.0036586
     42.3471352     -0.0011372
     42.3473852      0.0039814
     42.3476352     -0.0115447
     42.3478852      0.0005992
     42.3481352      0.0009504
     42.3483852     -0.0023673
     42.3486352      0.0024467
     42.3488852     -0.0180939
     42.3491352     -0.0081769
     42.3493852      0.0222924
     42.3496352     -0.0010405
     42.3498852      0.0068789
     42.3501352     -0.0042401
     42.3503852      0.0069149
