Frequency (GHz)      Flux (Jy)
     42.3636352     -0.0753774
     42.3638852     -0.0025680
     42.3641352     -0.0355881
     42.3643852     -0.0192890
     42.3646352     -0.0041557
     42.3648852      0.0187950
     42.3651352     -0.0372625
     42.3653852     -0.0265279
     42.3656352     -0.0243073
     42.3658852     -0.0109065
     42.3661352     -0.0228398
     42.3663852     -0.0077095
     42.3666352      0.0222951
     42.3668852      0.0193282
     42.3671352      0.0167127
     42.3673852     -0.0729729
     42.3676352      0.0409977
     42.3678852      0.0068232
     42.3681352     -0.0069730
     42.3683852      0.0459209
     42.3686352     -0.0230330
     42.3688852      0.0243092
     42.3691352      0.0049524
     42.3693852      0.0330482
     42.3696352      0.0060254
     42.3698852     -0.0427681
     42.3701352      0.0732073
     42.3703852     -0.0190586
     42.3706352      0.0039142
     42.3708852      0.0053631
     42.3711352     -0.0415798
     42.3713852     -0.0491533
     42.3716352     -0.0294794
     42.3718852      0.0136388
     42.3721352      0.0003995
     42.3723852      0.0242338
     42.3726352     -0.0307745
     42.3728852      0.0492540
     42.3731352     -0.0121629
     42.3733852      0.0646559
     42.3736352     -0.0128833
     42.3738852     -0.0053596
     42.3741352      0.0317312
     42.3743852     -0.0180290
     42.3746352     -0.0606280
     42.3748852     -0.0349252
     42.3751352      0.0070169
     42.3753852     -0.0221516
     42.3756352      0.0394683
     42.3758852     -0.0121651
     42.3761352      0.0036579
     42.3763852     -0.0057316
     42.3766352     -0.0195427
     42.3768852     -0.0317457
     42.3771352     -0.0222369
     42.3773852      0.0195581
     42.3776352     -0.0405114
     42.3778852      0.0137837
     42.3781352     -0.0026998
     42.3783852     -0.0009087
     42.3786352     -0.0207380
     42.3788852     -0.0087645
     42.3791352     -0.0103646
     42.3793852     -0.0316329
     42.3796352      0.0155162
     42.3798852      0.0313441
     42.3801352     -0.0073558
     42.3803852      0.0263935
     42.3806352      0.0508166
     42.3808852     -0.0547153
     42.3811352     -0.0242165
     42.3813852      0.0315881
     42.3816352      0.0313774
     42.3818852      0.0058967
     42.3821352     -0.0364009
     42.3823852     -0.0272129
     42.3826352      0.0334947
     42.3828852     -0.0018057
     42.3831352      0.0463269
     42.3833852      0.0101241
     42.3836352      0.0224682
     42.3838852      0.0366371
     42.3841352     -0.0215116
     42.3843852     -0.0255738
     42.3846352     -0.0573731
     42.3848852      0.0222965
     42.3851352     -0.0093629
     42.3853852      0.0291105
     42.3856352      0.0353524
     42.3858852     -0.0242022
     42.3861352      0.0346581
     42.3863852     -0.0037997
     42.3866352     -0.0124797
     42.3868852      0.0466459
     42.3871352     -0.0086097
     42.3873852      0.0390050
     42.3876352     -0.0402521
     42.3878852      0.0412293
     42.3881352      0.0194186
     42.3883852      0.0237099
     42.3886352     -0.0698417
     42.3888852     -0.0164640
     42.3891352     -0.0235585
     42.3893852      0.0342701
     42.3896352     -0.0398608
     42.3898852      0.0079644
     42.3901352     -0.0745747
     42.3903852     -0.0628799
     42.3906352     -0.0761226
     42.3908852      0.0385244
     42.3911352     -0.0041517
     42.3913852     -0.0066486
     42.3916352     -0.0126333
     42.3918852     -0.0336276
     42.3921352      0.0204711
     42.3923852      0.0478027
     42.3926352      0.0064934
     42.3928852     -0.0003053
     42.3931352      0.0037909
     42.3933852     -0.0073560
     42.3936352     -0.0432208
     42.3938852      0.0485889
     42.3941352     -0.0005784
     42.3943852      0.0170084
     42.3946352     -0.0361595
     42.3948852      0.0154048
     42.3951352      0.0155827
     42.3953852     -0.0005197
     42.3956352     -0.0385956
     42.3958852     -0.0010023
     42.3961352      0.0135272
     42.3963852     -0.0215831
     42.3966352     -0.0099487
     42.3968852     -0.0444265
     42.3971352     -0.0428846
     42.3973852     -0.0061999
     42.3976352     -0.0042996
     42.3978852      0.0072283
     42.3981352     -0.0041055
     42.3983852     -0.0006463
     42.4031352      0.0078506
     42.4033852      0.0121969
     42.4036352      0.0054389
     42.4038852     -0.0082053
     42.4041352     -0.0165973
     42.4043852      0.0035299
     42.4046352      0.0614688
     42.4048852     -0.0189716
     42.4051352      0.0215224
     42.4053852     -0.0266492
     42.4056352      0.0121845
     42.4058852     -0.0245743
     42.4061352     -0.0070061
     42.4063852      0.0200690
     42.4066352     -0.0347731
     42.4068852      0.0271715
     42.4071352     -0.0265954
     42.4073852     -0.0120335
     42.4076352     -0.0181973
     42.4078852     -0.0244865
     42.4081352     -0.0003620
     42.4083852     -0.0181054
     42.4086352     -0.0489342
     42.4088852      0.0399148
     42.4091352     -0.0294184
     42.4093852     -0.0593541
     42.4096352      0.0016531
     42.4098852     -0.0038702
     42.4101352      0.0337887
     42.4103852     -0.0051851
     42.4106352      0.0498892
     42.4108852     -0.0490316
     42.4111352     -0.0423732
     42.4113852      0.0197552
