Frequency (GHz)      Flux (Jy)
     42.3048852      0.0193226
     42.3051352      0.0054409
     42.3053852     -0.0259249
     42.3056352      0.0088140
     42.3058852      0.0243616
     42.3061352     -0.0297009
     42.3063852      0.0031510
     42.3066352     -0.0116467
     42.3068852      0.0218775
     42.3071352     -0.0091862
     42.3073852     -0.0365593
     42.3076352     -0.0122052
     42.3078852     -0.0130243
     42.3081352      0.0135609
     42.3083852      0.0257372
     42.3086352     -0.0333701
     42.3088852     -0.0345619
     42.3091352      0.0064590
     42.3093852      0.0188084
     42.3096352      0.0116749
     42.3098852      0.0277552
     42.3101352     -0.0539998
     42.3103852     -0.0012801
     42.3106352      0.0305327
     42.3108852     -0.0050268
     42.3111352     -0.0027571
     42.3113852     -0.0298002
     42.3116352     -0.0246185
     42.3118852     -0.0074734
     42.3121352     -0.0245257
     42.3123852     -0.0662847
     42.3126352      0.0169633
     42.3128852      0.0368122
     42.3131352     -0.0308270
     42.3133852     -0.0157195
     42.3136352      0.0459757
     42.3138852     -0.0102941
     42.3141352     -0.0050247
     42.3143852     -0.0179689
     42.3146352      0.0364831
     42.3148852     -0.0112278
     42.3151352      0.0294036
     42.3153852     -0.0073861
     42.3156352      0.0204679
     42.3158852     -0.0139832
     42.3161352      0.0049842
     42.3163852     -0.0109758
     42.3166352     -0.0341055
     42.3168852      0.0135717
     42.3171352      0.0100795
     42.3173852     -0.0261496
     42.3176352      0.0025529
     42.3178852      0.0001918
     42.3181352     -0.0237907
     42.3183852     -0.0316990
     42.3186352      0.0149570
     42.3188852     -0.0123634
     42.3191352      0.0157265
     42.3193852      0.0065720
     42.3196352      0.0066400
     42.3198852      0.0238919
     42.3201352      0.0340574
     42.3203852      0.0451864
     42.3206352      0.0312195
     42.3208852     -0.0020398
     42.3211352      0.0054762
     42.3213852      0.0292338
     42.3216352     -0.0103648
     42.3218852     -0.0269564
     42.3221352      0.0107381
     42.3223852      0.0440814
     42.3226352     -0.0499190
     42.3228852      0.0324458
     42.3231352     -0.0282286
     42.3233852      0.0227097
     42.3236352      0.0443737
     42.3238852      0.0252806
     42.3241352     -0.0011975
     42.3243852      0.0211756
     42.3246352     -0.0203864
     42.3248852     -0.0016404
     42.3251352      0.0006922
     42.3253852     -0.0375418
     42.3256352     -0.0106540
     42.3258852      0.0142422
     42.3261352     -0.0239213
     42.3263852      0.0273072
     42.3266352      0.0288033
     42.3268852     -0.0247135
     42.3271352     -0.0516573
     42.3273852     -0.0070460
     42.3276352     -0.0360024
     42.3278852      0.0129202
     42.3281352      0.0226608
     42.3283852     -0.0099422
     42.3286352     -0.0812167
     42.3288852      0.0032758
     42.3291352      0.0210360
     42.3293852     -0.0130301
     42.3296352     -0.0146906
     42.3298852      0.0056713
     42.3301352      0.0276079
     42.3303852      0.0075938
     42.3306352     -0.0382697
     42.3308852      0.0048242
