GRBname T90
GRB160612A 0.248
GRB160611A 35.124
GRB160607A 33.492
GRB160601A 0.1199999
GRB160525B 0.2919999
GRB160519A 35.616
GRB160506A 260.528
GRB160504A 53.96
GRB160425A 304.596
GRB160424A 6.464
GRB160419A 9.416
GRB160417A 14.552
GRB160412A 32.18
GRB160411A 0.3559999
GRB160410A 96.0
GRB160409A 48.0
GRB160408A 0.3199999
GRB160327A 33.744
GRB160325A 61.724
GRB160321A 33.476
GRB160314A 8.732
GRB160313A 41.536
GRB160303A 4.976
GRB160228A 98.908
GRB160227A 316.348
GRB160225A 157.456
GRB160223A 134.864
GRB160220B 31.116
GRB160220A 8.26
GRB160216A 11.0
GRB160203A 17.44
GRB160131A 327.752
GRB160127A 6.156
GRB160123A 3.952
GRB160121A 10.5
GRB160119A 120.14
GRB160117B 11.536
GRB160117A 137.0
GRB160104A 16.564
GRB151229A 1.44
GRB151228B 48.0
GRB151228A 0.276
GRB151215A 17.848
GRB151210A 86.96
GRB151205B 1.436
GRB151205A 64.0
GRB151127A 0.1879999
GRB151122A 36.8
GRB151118A 23.568
GRB151114A 4.856
GRB151112A 58.864
GRB151111A 76.044
GRB151031A 5.0
GRB151029A 8.952
GRB151027B 80.0
GRB151027A 129.58
GRB151023A 10.76
GRB151022A 117.68
GRB151021A 110.056
GRB151006A 211.056
GRB151004A 137.272
GRB151001B 131.52
GRB151001A 9.828
GRB150925A 122.132
GRB150915A 160.0
GRB150911A 7.136
GRB150910A 112.272
GRB150907B 62.02
GRB150901A 64.0
GRB150831B 6.176
GRB150831A 0.92
GRB150821A 168.944
GRB150819A 51.664
GRB150818A 143.056
GRB150817A 37.996
GRB150811A 31.52
GRB150801B 408.708
GRB150728A 0.832
GRB150727A 87.956
GRB150724A 280.008
GRB150722A 67.312
GRB150720A 238.536
GRB150716A 42.568
GRB150711A 70.956
GRB150710B 13.84
GRB150710A 0.152
GRB150626B 48.0
GRB150626A 97.264
GRB150616A 608.408
GRB150615A 32.684
GRB150607A 25.988
GRB150530B 3.0
GRB150530A 6.896
GRB150527A 108.8
GRB150513A 161.564
GRB150430A 106.88
GRB150428B 130.948
GRB150428A 53.2
GRB150424A 81.056
GRB150423A 0.2159999
GRB150413A 243.596
GRB150403A 37.296
GRB150402A 14.4
GRB150323C 159.664
GRB150323B 59.2
GRB150323A 149.728
GRB150318A 87.444
GRB150317A 23.284
GRB150314A 14.78
GRB150309A 242.04
GRB150302A 23.872
GRB150301B 17.136
GRB150301A 0.484
GRB150222A 15.836
GRB150213B 209.0
GRB150212A 15.488
GRB150211A 13.608
GRB150206A 75.0
GRB150204A 14.0
GRB150203A 24.436
GRB150202A 25.472
GRB150201A 26.592
GRB150120B 24.336
GRB150120A 1.196
GRB150110B 10.58
GRB150103A 49.088
