GRBname T90
GRB050716 69.02
GRB050715 187.0
GRB050714B 49.364
GRB050713B 121.696
GRB050713A 124.672
GRB050712 51.356
GRB050701 21.696
GRB050607 48.0
GRB050603 21.0
GRB050528 11.248
GRB050525A 8.836
GRB050509B 0.02400002
GRB050509A 10.508
GRB050507 15.0
GRB050505 58.852
GRB050502B 17.724
GRB050422 80.0
GRB050421 8.408
GRB050418 81.76
GRB050416B 3.392
GRB050416A 6.668
GRB050412 27.572
GRB050410 64.0
GRB050406 5.776
GRB050401 32.092
GRB050326 29.44
GRB050319 151.584
GRB050318 16.124
GRB050315 95.4
GRB050306 158.524
GRB050223 22.68
GRB050219B 28.72
GRB050219A 23.812
GRB050215B 11.044
GRB050215A 66.412
GRB050202 0.112
GRB050128 28.0
GRB050126 48.0
GRB050124 3.936
GRB050117 166.648
GRB041228 56.3
GRB041226 8.296
GRB041224 177.564
GRB041223 109.06
GRB041220 5.584
GRB041219C 10.0
GRB041219B 9.856
GRB041217 5.668
